OperationID,Name,ProcessTime
215,Milling _ RING_[4022-454-25012],0
216,BW - Benchwork _ RING_[4022-454-25012],0
217,Nickel platin_ RING_[4022-454-25012],0
218,Packaging _ RING_[4022-454-25012],0
219,Material prep _ Sensorblock_[4022-455-01702],0
220,Milling _ Sensorblock_[4022-455-01702],0
221,BW - Benchwork _ Sensorblock_[4022-455-01702],0
222,Packaging _ Sensorblock_[4022-455-01702],0
223,Material prep _ POST 2_[4022-455-09992],0
224,Milling _ POST 2_[4022-455-09992],0
225,BW - Benchwork _ POST 2_[4022-455-09992],0
226,Packaging _ POST 2_[4022-455-09992],0
227,Material prep _ post 4_[4022-455-099943],0
228,Milling _ post 4_[4022-455-099943],0
229,BW - Benchwork _ post 4_[4022-455-099943],0
230,Packaging _ post 4_[4022-455-099943],0
231,Material prep _ post 5_[4022-455-099953],0
232,Milling _ post 5_[4022-455-099953],0
233,BW - Benchwork _ post 5_[4022-455-099953],0
234,Packaging _ post 5_[4022-455-099953],0
235,Material prep _ post 7_[4022-455-09997-3],0
236,Milling _ post 7_[4022-455-09997-3],0
237,Packaging _ post 7_[4022-455-09997-3],0
238,Material prep _ LENSGAS INTERFACE BLOCK_[4022-456-08803],0
239,Milling _ LENSGAS INTERFACE BLOCK_[4022-456-08803],0
240,BW - Benchwork _ LENSGAS INTERFACE BLOCK_[4022-456-08803],0
241,Packaging _ LENSGAS INTERFACE BLOCK_[4022-456-08803],0
242,Material prep _ 1/2TE Compens Guide 160mm_[4022-470-85441],0
243,Milling _ 1/2TE Compens Guide 160mm_[4022-470-85441],0
244,BW - Benchwork _ 1/2TE Compens Guide 160mm_[4022-470-85441],0
245,Packaging _ 1/2TE Compens Guide 160mm_[4022-470-85441],0
246,Material prep _ Temp Sensor Block_[4022-481-55761],0
247,Milling _ Temp Sensor Block_[4022-481-55761],0
248,BW - Benchwork _ Temp Sensor Block_[4022-481-55761],0
249,Anodisin_ Temp Sensor Block_[4022-481-55761],0
250,Packaging _ Temp Sensor Block_[4022-481-55761],0
251,Material prep _ UPPER CABLE CLAMP_[4022-481-65971/20],0
252,Milling _ UPPER CABLE CLAMP_[4022-481-65971/20],0
253,BW - Benchwork _ UPPER CABLE CLAMP_[4022-481-65971/20],0
254,Anodisin_ UPPER CABLE CLAMP_[4022-481-65971/20],0
255,Packaging _ UPPER CABLE CLAMP_[4022-481-65971/20],0
256,Material prep _ Al fcp switch holder_[4022-484-40921],0
257,Milling _ Al fcp switch holder_[4022-484-40921],0
258,BW - Benchwork _ Al fcp switch holder_[4022-484-40921],0
259,Anodisin_ Al fcp switch holder_[4022-484-40921],0
260,Packaging _ Al fcp switch holder_[4022-484-40921],0
261,Material prep _ Connector Block_[4022-486-33041],0
262,Milling _ Connector Block_[4022-486-33041],0
263,BW - Benchwork _ Connector Block_[4022-486-33041],0
264,Packaging _ Connector Block_[4022-486-33041],0
265,Material prep _ Cable Clamp Base (M5)_[4022-486-73851/40],0
266,Milling _ Cable Clamp Base (M5)_[4022-486-73851/40],0
267,BW - Benchwork _ Cable Clamp Base (M5)_[4022-486-73851/40],0
268,Anodisin_ Cable Clamp Base (M5)_[4022-486-73851/40],0
269,Packaging _ Cable Clamp Base (M5)_[4022-486-73851/40],0
270,Material prep _ Block POS. 19_[4022-510-76650P19],0
271,Milling _ Block POS. 19_[4022-510-76650P19],0
272,Packaging _ Block POS. 19_[4022-510-76650P19],0
273,Material prep _ Ynozzle Ducting V2 Cover_[4022-621-9185],0
274,Milling _ Ynozzle Ducting V2 Cover_[4022-621-9185],0
275,BW - Benchwork _ Ynozzle Ducting V2 Cover_[4022-621-9185],0
276,Packaging _ Ynozzle Ducting V2 Cover_[4022-621-9185],0
277,Material prep _ HINGE BLOCK BACK_[4022-630-67632],0
278,Milling _ HINGE BLOCK BACK_[4022-630-67632],0
279,BW - Benchwork _ HINGE BLOCK BACK_[4022-630-67632],0
280,Packaging _ HINGE BLOCK BACK_[4022-630-67632],0
281,Material prep _ Pos 4_[4022-631-2166-Pos4],0
282,Milling _ Pos 4_[4022-631-2166-Pos4],0
283,BW - Benchwork _ Pos 4_[4022-631-2166-Pos4],0
284,Packaging _ Pos 4_[4022-631-2166-Pos4],0
285,Material prep _ Interface y-equilizer 2_[4022-631-42881],0
286,Milling _ Interface y-equilizer 2_[4022-631-42881],0
287,BW - Benchwork _ Interface y-equilizer 2_[4022-631-42881],0
288,Packaging _ Interface y-equilizer 2_[4022-631-42881],0
289,Material prep _ Interface (FIXED)_[4022-631-47801],0
290,Milling _ Interface (FIXED)_[4022-631-47801],0
291,BW - Benchwork _ Interface (FIXED)_[4022-631-47801],0
292,Packaging _ Interface (FIXED)_[4022-631-47801],0
293,Material prep _ INTERFACE (ADJUSTABLE)_[4022-631-54801],0
