ResourceID,Day,ShiftNo,JobID,SchStart,SchCompletion
__export__.mrp_workcenter_61_bcb50df3,2025-11-26,1,17,57.0,65.0
__export__.mrp_workcenter_61_bcb50df3,2025-11-26,2,17,65.0,73.0
__export__.mrp_workcenter_61_bcb50df3,2025-11-27,1,17,81.0,89.0
__export__.mrp_workcenter_61_bcb50df3,2025-11-27,2,17,89.0,97.0
__export__.mrp_workcenter_61_bcb50df3,2025-11-28,1,17,105.0,113.0
__export__.mrp_workcenter_61_bcb50df3,2025-11-28,2,17,113.0,121.0
__export__.mrp_workcenter_61_bcb50df3,2025-11-29,1,17,129.0,137.0
__export__.mrp_workcenter_61_bcb50df3,2025-11-29,2,17,137.0,145.0
__export__.mrp_workcenter_61_bcb50df3,2025-11-30,1,17,153.0,161.0
__export__.mrp_workcenter_61_bcb50df3,2025-11-30,2,17,161.0,169.0
__export__.mrp_workcenter_61_bcb50df3,2025-12-01,1,17,177.0,178.23333333333335
