JobID,Quantity,Deadline,OrderID,ProductID,OperationID
400,16.0,2025-08-26,62,2,8
401,16.0,2025-08-26,62,2,7
402,16.0,2025-08-26,62,2,6
428,24.0,2025-08-26,96,4,23
429,24.0,2025-08-26,96,4,21
430,24.0,2025-08-26,96,4,20
431,24.0,2025-08-26,96,4,19
432,24.0,2025-08-26,96,4,18
458,24.0,2025-08-26,97,5,29
459,24.0,2025-08-26,97,5,27
460,24.0,2025-08-26,97,5,26
461,24.0,2025-08-26,97,5,25
462,24.0,2025-08-26,97,5,24
487,200.0,2025-08-29,98,25,65
488,200.0,2025-08-29,98,25,64
489,200.0,2025-08-29,98,25,63
490,200.0,2025-08-29,98,25,62
491,200.0,2025-08-29,98,25,62
492,200.0,2025-08-29,98,25,61
521,150.0,2025-09-03,107,21,56
522,150.0,2025-09-03,107,21,54
523,150.0,2025-09-03,107,21,53
524,150.0,2025-09-03,107,21,53
525,150.0,2025-09-03,107,21,52
528,100.0,2025-08-20,119,80,219
529,100.0,2025-08-20,119,80,218
530,100.0,2025-08-20,119,80,217
531,100.0,2025-08-20,119,80,216
566,200.0,2025-09-11,59,23,60
567,200.0,2025-09-11,59,23,59
568,200.0,2025-09-11,59,23,58
569,200.0,2025-09-11,59,23,58
570,200.0,2025-09-11,59,23,57
599,100.0,2025-09-08,61,38,99
600,100.0,2025-09-08,61,38,98
601,100.0,2025-09-08,61,38,97
602,100.0,2025-09-08,61,38,97
603,100.0,2025-09-08,61,38,96
630,20.0,2025-08-28,106,240,735
631,20.0,2025-08-28,106,240,733
632,20.0,2025-08-28,106,240,733
633,20.0,2025-08-28,106,240,732
634,20.0,2025-08-28,106,240,732
635,20.0,2025-08-28,106,240,731
636,12.0,2025-08-19,43,97,272
637,12.0,2025-08-19,43,97,271
638,12.0,2025-08-19,43,97,270
639,12.0,2025-08-19,43,97,269
640,12.0,2025-08-19,43,97,269
641,12.0,2025-08-19,43,97,268
642,10.0,2025-08-19,45,101,286
643,10.0,2025-08-19,45,101,285
644,10.0,2025-08-19,45,101,284
645,10.0,2025-08-19,45,101,284
646,10.0,2025-08-19,45,101,283
651,12.0,2025-08-20,46,121,356
652,12.0,2025-08-20,46,121,355
653,12.0,2025-08-20,46,121,354
654,12.0,2025-08-20,46,121,353
655,12.0,2025-08-20,46,121,352
660,20.0,2025-08-20,57,134,402
661,20.0,2025-08-20,57,134,401
662,20.0,2025-08-20,57,134,400
663,20.0,2025-08-20,57,134,399
664,20.0,2025-08-20,57,134,398
700,82.0,2025-09-04,26,72,197
701,82.0,2025-09-04,26,72,196
702,82.0,2025-09-04,26,72,195
703,82.0,2025-09-04,26,72,194
704,82.0,2025-09-04,26,72,193
705,1.0,2025-08-20,41,530,1047
712,9.0,2025-09-05,42,510,1018
713,9.0,2025-09-05,42,510,1018
714,9.0,2025-09-05,42,510,1018
715,9.0,2025-09-05,42,510,1017
716,9.0,2025-09-05,42,510,1017
717,9.0,2025-09-05,42,510,1017
718,9.0,2025-09-05,42,510,1016
793,75.0,2025-09-22,112,181,549
794,75.0,2025-09-22,112,181,547
795,75.0,2025-09-22,112,181,546
796,75.0,2025-09-22,112,181,545
797,75.0,2025-09-22,112,181,545
798,75.0,2025-09-22,112,181,544
824,24.0,2025-08-26,63,3,17
825,24.0,2025-08-26,63,3,15
826,24.0,2025-08-26,63,3,14
827,24.0,2025-08-26,63,3,13
828,24.0,2025-08-26,63,3,12
903,100.0,2025-09-19,100,33,87
904,100.0,2025-09-19,100,33,85
905,100.0,2025-09-19,100,33,84
906,100.0,2025-09-19,100,33,83
907,100.0,2025-09-19,100,33,83
908,100.0,2025-09-19,100,33,82
923,40.0,2025-08-26,48,129,377
924,40.0,2025-08-26,48,129,376
925,40.0,2025-08-26,48,129,375
926,40.0,2025-08-26,48,129,374
927,40.0,2025-08-26,48,129,373
928,8.0,2025-08-19,17,539,1056
929,8.0,2025-09-01,18,541,1058
930,8.0,2025-09-01,18,541,1057
931,8.0,2025-08-28,19,543,1061
932,8.0,2025-08-28,19,543,1060
933,25.0,2025-08-20,29,525,1043
934,5.0,2025-08-20,30,547,1067
935,40.0,2025-08-20,31,526,1044
936,10.0,2025-08-20,32,524,1042
937,5.0,2025-08-21,33,529,1046
938,5.0,2025-08-19,34,527,1045
946,100.0,2025-08-22,117,231,709
947,100.0,2025-08-22,117,231,708
948,100.0,2025-08-22,117,231,708
