OperationID,Name,ProcessTime,Predecessor
130,Material prep (ZGN_01)_[080-810005-A2]  Valve body 3-way 2 sensors,0.016666666666666666,{}
131,Milling (FR5_01)_[080-810005-A2]  Valve body 3-way 2 sensors,0.26666666666666666,Material prep (ZGN_01)_[080-810005-A2]  Valve body 3-way 2 sensors
132,Milling (FR3_01)_[080-810005-A2]  Valve body 3-way 2 sensors,0.03333333333333333,Milling (FR5_01)_[080-810005-A2]  Valve body 3-way 2 sensors
133,Milling (FR3_01)_[080-810005-A2]  Valve body 3-way 2 sensors_2,0.016666666666666666,Milling (FR3_01)_[080-810005-A2]  Valve body 3-way 2 sensors
134,BW - Benchwork (BKW_01)_[080-810005-A2]  Valve body 3-way 2 sensors,0.03333333333333333,Milling (FR3_01)_[080-810005-A2]  Valve body 3-way 2 sensors_2
135,Anodising_[080-810005-A2]  Valve body 3-way 2 sensors,37.5,BW - Benchwork (BKW_01)_[080-810005-A2]  Valve body 3-way 2 sensors
136,Packaging (VERP_P)_[080-810005-A2]  Valve body 3-way 2 sensors,0.016666666666666666,Anodising_[080-810005-A2]  Valve body 3-way 2 sensors
137,Material prep (ZGN_01)_[082-000020-A1]  Manifold coolant banjo M14,0.016666666666666666,{}
138,Milling (FR3_01)_[082-000020-A1]  Manifold coolant banjo M14,0.016666666666666666,Material prep (ZGN_01)_[082-000020-A1]  Manifold coolant banjo M14
139,Milling (FR5_01)_[082-000020-A1]  Manifold coolant banjo M14,0.15,Milling (FR3_01)_[082-000020-A1]  Manifold coolant banjo M14
140,BW - Benchwork (BKW_01)_[082-000020-A1]  Manifold coolant banjo M14,0.016666666666666666,Milling (FR5_01)_[082-000020-A1]  Manifold coolant banjo M14
141,Anodising_[082-000020-A1]  Manifold coolant banjo M14,37.5,BW - Benchwork (BKW_01)_[082-000020-A1]  Manifold coolant banjo M14
142,Packaging (VERP_P)_[082-000020-A1]  Manifold coolant banjo M14,0.016666666666666666,Anodising_[082-000020-A1]  Manifold coolant banjo M14
143,Material prep (ZGN_01)_[095-500029-A 1]  Filler block CNG,0.016666666666666666,{}
144,Milling (FR5_01)_[095-500029-A 1]  Filler block CNG,0.3,Material prep (ZGN_01)_[095-500029-A 1]  Filler block CNG
145,Milling (FR3_01)_[095-500029-A 1]  Filler block CNG,0.03333333333333333,Milling (FR5_01)_[095-500029-A 1]  Filler block CNG
146,BW - Benchwork (BKW_01)_[095-500029-A 1]  Filler block CNG,0.05,Milling (FR3_01)_[095-500029-A 1]  Filler block CNG
147,Anodising_[095-500029-A 1]  Filler block CNG,37.5,BW - Benchwork (BKW_01)_[095-500029-A 1]  Filler block CNG
148,Packaging (VERP_P)_[095-500029-A 1]  Filler block CNG,0.016666666666666666,Anodising_[095-500029-A 1]  Filler block CNG
