ProductID,ProductNumber,Name,StockUnit,StockBatch,StockLevel,PrescribedBatchsize,ChosenBatchsize
124,5602-0000-0015,[5602-0000-0015]  RVS 304/304L wgw plat 80x30,Pcs,1,6000.0,43,
125,4022-631-75141,[4022-631-75141]  Hinge block back lm2,mm,3000,0.0,94,
126,5602-0000-0018,[5602-0000-0018]  RVS 304/304L wgw plat 50x20,Pcs,1,0.0,94,
127,4022-631-80291,[4022-631-80291]  Hinge block LR,mm,3000,0.0,108,
128,5602-0000-0005,[5602-0000-0005]  RVS 304/304L wgw plat 70x30,Pcs,1,5614.0,16,
129,4022-631-80301,[4022-631-80301]  Hinge Block LR2 (fixed),mm,3000,0.0,108,108
130,4022-631-80961,[4022-631-80961]  Hinge block (fixed) rm2,mm,3000,0.0,,
131,4022-631-89301,[4022-631-89301]  Hinge Block LM2,mm,3000,0.0,,53
132,4022-631-89311,[4022-631-89311]  HINGE BLOCK (FIXED) LM2,mm,3000,0.0,108,
133,4022-631-97451,[4022-631-97451]  Hinge Block Back LM2,mm,3000,0.0,,
134,4022-631-99701,[4022-631-99701]  LCW ABS PRES SENS CONN BLOCK,mm,3000,0.0,179,179
135,4022-635-17942,[4022-635-17942]  CA MOUNTING BLOCK,mm,3000,0.0,,
136,4022-635-68104,[4022-635-68104]  IH serv mech hinge bracket low,mm,3000,0.0,,
137,5602-0000-0039,[5602-0000-0039]  RVS 304/304L wgw rond 100,Pcs,1,0.0,,
138,4022-635-87282,[4022-635-87282]  LOCKING PLATE,mm,3000,0.0,406,
139,5603-0000-0008,[5603-0000-0008]  STAAL S235JRC+C blank plat 25x20,Pcs,1,0.0,406,
140,4022-635-87291,[4022-635-87291]  HANDLE,mm,3000,0.0,1001,
141,5602-0000-0001,[5602-0000-0001]  RVS 304/304L blank plat 25x12,Pcs,1,0.0,1001,
142,4022-635-99171,[4022-635-99171]  Hinge block fixed 7c-e rr,mm,3000,0.0,,
143,4022-637-11821,[4022-637-11821]  HINGE BLOCK LF,mm,3000,0.0,60,
144,5602-0000-0009,[5602-0000-0009]  RVS 304/304L wgw plat 100x20,Pcs,1,0.0,50,
