ProductID,ProductNumber,Name,StockLevel,PrescribedBatchsize,ChosenBatchsize
132,4022-631-89311,[4022-631-89311]  HINGE BLOCK (FIXED) LM2,0.0,108,
133,4022-631-97451,[4022-631-97451]  Hinge Block Back LM2,0.0,,
134,4022-631-99701,[4022-631-99701]  LCW ABS PRES SENS CONN BLOCK,0.0,179,179
135,4022-635-17942,[4022-635-17942]  CA MOUNTING BLOCK,0.0,,
136,4022-635-68104,[4022-635-68104]  IH serv mech hinge bracket low,0.0,,
137,5602-0000-0039,[5602-0000-0039]  RVS 304/304L wgw rond 100,0.0,,
138,4022-635-87282,[4022-635-87282]  LOCKING PLATE,0.0,406,
139,5603-0000-0008,[5603-0000-0008]  STAAL S235JRC+C blank plat 25x20,0.0,406,
140,4022-635-87291,[4022-635-87291]  HANDLE,0.0,1001,
141,5602-0000-0001,[5602-0000-0001]  RVS 304/304L blank plat 25x12,0.0,1001,
142,4022-635-99171,[4022-635-99171]  Hinge block fixed 7c-e rr,0.0,,
143,4022-637-11821,[4022-637-11821]  HINGE BLOCK LF,0.0,60,
144,5602-0000-0009,[5602-0000-0009]  RVS 304/304L wgw plat 100x20,0.0,50,
145,4022-637-24142,[4022-637-24142]  HINGE BLOCK FIXED RF,0.0,,
146,4022-637-24191,[4022-637-24191]  HINGE BLOCK RF,0.0,50,
147,4022-637-29291,[4022-637-29291]  Hinge Block rm,0.0,30,
148,4022-637-29301,[4022-637-29301]  Hinge Block Fixed RM,0.0,,52
149,4022-637-29381,[4022-637-29381]  Hinge Block LM,0.0,,65
150,4022-637-29391,[4022-637-29391]  Hinge block fixed LM,0.0,,36
151,4022-637-32081,[4022-637-32081]  IH SERVE MECH HINGE BRACKET,0.0,80,
152,4022-637-45782,[4022-637-45782]  Interface hinge block fixed RF,0.0,50,
153,5601-0000-0002,[5601-0000-0002]  ALU 5083 gzgd plaat 160x80x30,0.0,50,
154,4022-637-68442,[4022-637-68442]  IH HINGE BRACKET TOP HINGE,0.0,60,
155,5603-0000-0011,[5603-0000-0011]  STAAL S355J2C+C ngl plat 60x40,0.0,60,
156,4022-639-54042,[4022-639-54042]  YS gripper detect mirro block,0.0,,
157,4022-642-33571,[4022-642-33571]  Support beam LM,0.0,60,
158,5601-0000-0003,[5601-0000-0003]  ALU 5083 gzgd plaat 465x165x15,0.0,60,
159,4022-646-17071,[4022-646-17071]  NXE wsmr 2 Fan guide rail,0.0,,
160,5601-0000-0008,[5601-0000-0008]  ALU 6082 T6 plat 40x20,42000.0,152,
161,4022-646-17131,[4022-646-17131]  Divider plate 6HE Special,0.0,,
162,4022-651-14271,[4022-651-14271]  NXT WS MK41 DC TEMP CONN PLATE,0.0,100,
163,4022-651-55002A,[4022-651-55002A]  Gpas preamp CB Box + cover assy,0.0,100,
164,5602-0000-0023,[5602-0000-0023]  RVS 316L wgw vk 80,1570.16,100,
165,4022-656-73531,[4022-656-73531]  Pipe clamp exhaust FW 1980,0.0,86,
166,5602-0000-0013,[5602-0000-0013]  RVS 304/304L blank plat 50x8,0.0,86,
167,4022-656-74553,[4022-656-74553]  Assy support guide FW 1980,0.0,50,
168,4022-656-75183,[4022-656-75183]  Non loosable block M4,0.0,93,93
169,5602-0000-0008,[5602-0000-0008]  RVS 304/304L wgw plat 35x20,0.0,104,
170,4022-656-75212,[4022-656-75212]  Non loosable block M5,0.0,104,104
171,4022-656-92231,[4022-656-92231]  Exhaust fw bridge 1980,0.0,126,
172,5601-0000-0015,[5601-0000-0015]  ALU 6082 T6 plat 80x10,18000.0,126,
173,4022-659-99092,[4022-659-99092]  YS ML Guardrail Park Block,0.0,,
174,4022-659-99111,[4022-659-99111]  YS ML Park Block Handle,0.0,,
175,4022-664-3390-1,[4022-664-3390-1]  NXE HP SL SLEC EOM CP ARM BACK,0.0,,
176,5602-0000-0007,[5602-0000-0007]  RVS 304/304L wgw plat 30x15,0.0,,
177,4022-666-18121,[4022-666-18121]  Distance Bush 1,0.0,342,
178,5602-0000-0017,[5602-0000-0017]  RVS 304/304L blank vk 10,0.0,342,
179,4022-666-3837-1,[4022-666-3837-1]  LSPH Bellow Clamp,0.0,,
180,5990-0000-0017,[5990-0000-0017]  LSPH Bellow Clamp cutout,0.0,,
181,4022-666-65702(R1),[4022-666-65702(R1)]  LSPH coverplate stud block,0.0,252,252
182,4022-671-49051,[4022-671-49051]  Bpam cover,0.0,150,
183,5601-0000-0150,[5601-0000-0150]  ALU 6082 T6 plat 120x20 ,0.0,150,
184,4022-671-49061,[4022-671-49061]  Bpam front 1,0.0,152,
185,4022-671-49073,[4022-671-49073]  Bpam front 2,0.0,,
186,4022-673-67281,[4022-673-67281]  Serv Mech Hinge Bracket Low,0.0,11,
187,5603-0000-0016,[5603-0000-0016]  STAAL S235JR rond Ø100,0.0,11,
188,4022-673-68701,[4022-673-68701]  AR Hinge Bracket Bottom Hinge,0.0,20,
189,5603-0000-0010,[5603-0000-0010]  STAAL S355J2C+C ngl plat 100x50,0.0,20,
190,4022-674-35671,[4022-674-35671]  MBI WS LTT SSXY MAN PLUG,0.0,,
191,4022-674-3569,[4022-674-3569]  MBI WS LTT HS MAN PLUG,0.0,,
192,4022-677-28751,[4022-677-28751]  LPAM Front 1,0.0,,
193,4022-677-28761,[4022-677-28761]  LPAM Front 2,0.0,,
194,4022-680-5023,[4022-680-5023]  MBI WS MK2 F&T BMA CONNECT 1,0.0,,
195,5602-0000-0026,[5602-0000-0026]  RVS 316L wgw vk 40,0.0,,
196,4022-680-5025,[4022-680-5025]  MBI WS MK2 F&T BMA CONNECT,0.0,,
197,4022-680-78322,[4022-680-78322]  SR ML SF EXTENSION PLATE,0.0,1,
198,5601-0000-0020,[5601-0000-0020]  ALU 6082 gzgd plaat 1035x170x70,0.0,1,
199,4022-680-9064-119,[4022-680-9064-119]  Block,0.0,16,
200,4022-683-10451,[4022-683-10451]  Brace,0.0,,
201,4022-683-92261,[4022-683-92261]  DC Brace,0.0,,
202,5602-0000-0035,[5602-0000-0035]  RVS 304/304L blank plat 30x40,0.0,,
203,4022-689-46621,[4022-689-46621]  MBI WS CARRIER SSZ CAP,0.0,,
204,5601-0000-0110,[5601-0000-0110]  ALU 6082 gzgd plaat rest materiaal,0.0,,
205,4022-689-4666,[4022-689-4666]  MBI WS CARRIER EPIN CAP,0.0,,
206,5601-0000-0114,[5601-0000-0114]  ALU 6082 T6 plat 60x20,0.0,,
207,4022-706-4753,[4022-706-4753]  EXE REMA TT Clamp Block 1,0.0,,
208,4023-000-32142A,[4023-000-32142A]  CAM IF ROT ADJUST SSM,0.0,20,
209,4023-000-34941B,[4023-000-34941B]  SIDE ROTATIONADJUST SSM,0.0,,
210,4023-000-35711A,[4023-000-35711A]  DUST KEEPER RING,0.0,20,
211,5601-0000-0017,[5601-0000-0017]  ALU 6082 T6 plat 100x20,0.0,20,
212,4023-001-14761B,[4023-001-14761B]  Cover Cupdetect dual L,0.0,15,
213,4023-001-14841C,[4023-001-14841C]  Cover Cupdetect dual R,0.0,15,
214,4023-001-43251B,[4023-001-43251B]  Block detection RI,0.0,15,
215,4023-001-43261B,[4023-001-43261B]  Block detection LE,0.0,15,
216,4023-002-15671,[4023-002-15671]  filter plate Cu0.2-Zr0.08,0.0,,
217,4023-002-36531,[4023-002-36531]  filter plate wide Cu0.2,0.0,,
218,4023-002-36551,[4023-002-36551]  filter plate wide Cu0.4 Rh0.06,0.0,,
219,4023-002-36601,[4023-002-36601]  filter plate wide Rh0.06,0.0,,
220,4023-003-94951-A,[4023-003-94951-A]  filter plate Cu0.2-Zr0.16,0.0,,
221,4512-127-05186B,[4512-127-05186B]  Anschlag,0.0,1000,1000
222,5990-0000-0012,[5990-0000-0012]  Ensat-SBS zelfsn.draadbus M6x12 Stl.gh.,0.0,1000,
223,4522-128-81532A POS 1,[4522-128-81532A POS 1]  CEILING INLET ASSY,0.0,,
224,4522-128-81532A POS 2,[4522-128-81532A POS 2]  CEILING INLET*,0.0,,
225,5990-0000-0013,[5990-0000-0013]  EPRAFORM PC helder rond Ø125,0.0,,
226,4522-980-37881,[4522-980-37881]  Filterplate al.20,0.0,,
227,5601-0000-0117,[5601-0000-0117]  ALU 99.5 40HV UN-T136 plaat 145x145x25,0.0,,
228,4522-980-37891,[4522-980-37891]  Filterplate al 5,0.0,200,
229,5601-0000-0118,[5601-0000-0118]  ALU 99.5 40HV UN-T136 plaat 145x145x6,0.0,200,
230,4598-008-08901B POS 1,[4598-008-08901B POS 1]  CEILING INLET*,0.0,,
231,4598-011-70891B,[4598-011-70891B]  ENDPLATE,0.0,231,231
232,5602-0000-0002,[5602-0000-0002]  RVS 304/304L blank plat 60x10,1240.0,231,
233,6001-1315-5405,[6001-1315-5405]  Clamping Lever,0.0,,
234,5601-0000-0121,[5601-0000-0121]  ALU 6082 T6 663x50x20mm (pre-cutted Clamping Lever),0.0,,
235,9091469-3-00,[9091469-3-00]  Vingerhouder,0.0,,
236,5603-0000-0015,[5603-0000-0015]  STAAL 40CrMnM07 wgw plat 80x40,0.0,,
237,B620261-5,[B620261-5]  COOLING HOUSE,0.0,1,
238,5602-0000-0036,[5602-0000-0036]  RVS 304/304L gzgd plaat 745x285x20,0.0,1,
