OperationID,Name,ProcessTime
289,BW - Benchwork _ HINGE BLOCK (FIXED) LM2,0
290,Packaging _ HINGE BLOCK (FIXED) LM2,0
291,Material prep _ Hinge Block Back LM2,0
292,Milling _ Hinge Block Back LM2,0
293,BW - Benchwork _ Hinge Block Back LM2,0
294,Packaging _ Hinge Block Back LM2,0
295,Material prep _ LCW ABS PRES SENS CONN BLOCK,0
296,Milling _ LCW ABS PRES SENS CONN BLOCK,0
297,BW - Benchwork _ LCW ABS PRES SENS CONN BLOCK,0
298,Packaging _ LCW ABS PRES SENS CONN BLOCK,0
299,Material prep _ CA MOUNTING BLOCK,0
300,Milling _ CA MOUNTING BLOCK,0
301,BW - Benchwork _ CA MOUNTING BLOCK,0
302,Packaging _ CA MOUNTING BLOCK,0
303,Material prep _ IH serv mech hinge bracket low,0
304,Milling _ IH serv mech hinge bracket low,0
305,BW - Benchwork _ IH serv mech hinge bracket low,0
306,Packaging _ IH serv mech hinge bracket low,0
307,Material prep _ LOCKING PLATE,0
308,Milling _ LOCKING PLATE,0
309,BW - Benchwork _ LOCKING PLATE,0
310,Nickel platin_ LOCKING PLATE,0
311,Cleanin_ LOCKING PLATE,0
312,Packaging _ LOCKING PLATE,0
313,Material prep _ HANDLE,0
314,Milling _ HANDLE,0
315,BW - Benchwork _ HANDLE,0
316,Packaging _ HANDLE,0
317,Material prep _ Hinge block fixed 7c-e rr,0
318,Milling _ Hinge block fixed 7c-e rr,0
319,BW - Benchwork _ Hinge block fixed 7c-e rr,0
320,Packaging _ Hinge block fixed 7c-e rr,0
321,Material prep _ HINGE BLOCK LF,0
322,Milling _ HINGE BLOCK LF,0
323,BW - Benchwork _ HINGE BLOCK LF,0
324,Packaging _ HINGE BLOCK LF,0
325,Material prep _ HINGE BLOCK FIXED RF,0
326,Milling _ HINGE BLOCK FIXED RF,0
327,BW - Benchwork _ HINGE BLOCK FIXED RF,0
328,Packaging _ HINGE BLOCK FIXED RF,0
329,Material prep _ HINGE BLOCK RF,0
330,Milling _ HINGE BLOCK RF,0
331,BW - Benchwork _ HINGE BLOCK RF,0
332,Packaging _ HINGE BLOCK RF,0
333,Material prep _ Hinge Block rm,0
334,Milling _ Hinge Block rm,0
335,BW - Benchwork _ Hinge Block rm,0
336,Packaging _ Hinge Block rm,0
337,Material prep _ Hinge Block Fixed RM,0
338,Milling _ Hinge Block Fixed RM,0
339,BW - Benchwork _ Hinge Block Fixed RM,0
340,Packaging _ Hinge Block Fixed RM,0
341,Material prep _ Hinge Block LM,0
342,Milling _ Hinge Block LM,0
