ORDERID;PN;SALESORDER;ITEM;SCHEDULELINE;ORDERTYPE;SPLITDELIVERY;REQUESTEDDATE;CONFIRMEDDATE;REQUESTEDQUANTITY;OPENQUANTITY;FLAG
22046-20-1;6410-0600-6017;0000022046;000020;1;S;NULL;2022-01-07;2022-03-04;50;50;U
22323-90-1;6761-1903-0403;0000022323;000090;1;S;NULL;2022-05-30;2022-05-30;4000;4000;U
22326-10-1;6337-1800-2606;0000022326;000010;1;S;NULL;2022-02-14;2022-02-14;395;395;U
22327-10-1;6337-1000-0012;0000022327;000010;1;S;NULL;2022-02-25;2022-04-04;200;200;U
22328-20-1;6337-1901-0803;0000022328;000020;1;S;NULL;2022-03-21;2023-01-03;200;200;U
22329-10-1;6337-1400-0622;0000022329;000010;1;S;NULL;2022-02-11;2022-02-28;200;200;U
22330-10-1;6337-1600-0206;0000022330;000010;1;S;NULL;2022-02-07;2022-03-07;200;200;U
22334-20-1;6799-1900-3304;0000022334;000020;1;S;NULL;2022-01-06;2022-01-20;30;30;U
22340-50-1;6774-1200-5105;0000022340;000050;1;S;NULL;2022-02-02;2022-04-07;50;50;U
22344-10-1;6782-2100-3203;0000022344;000010;1;S;X;2023-05-17;2023-05-17;192;192;U
22346-10-1;6782-2100-3203;0000022346;000010;1;S;X;2023-04-07;2023-04-07;192;192;U
22352-10-1;6337-1200-8507;0000022352;000010;1;S;NULL;2022-02-28;2022-02-28;200;200;U
22541-20-1;6799-1300-0026;0000022541;000020;1;S;NULL;2022-03-03;2022-03-10;288;288;U
22556-20-1;6045-1904-6301;0000022556;000020;1;S;NULL;2022-02-02;2022-02-02;119;119;U
22565-10-1;6043-2101-4100;0000022565;000010;1;S;X;2022-01-10;2022-01-11;1;1;U
22565-20-1;6043-2101-4200;0000022565;000020;1;S;X;2022-01-10;2022-01-11;1;1;U
22565-30-1;6043-2101-4300;0000022565;000030;1;S;X;2022-01-10;2022-01-11;1;1;U
22565-50-1;6043-2101-4700;0000022565;000050;1;S;X;2022-01-05;2022-01-11;1;1;U
22565-60-1;6043-2101-4500;0000022565;000060;1;S;X;2022-01-05;2022-01-11;1;1;U
22565-70-1;6043-2101-4900;0000022565;000070;1;S;X;2022-01-05;2022-01-11;1;1;U
22569-10-1;6337-1000-0012;0000022569;000010;1;S;NULL;2022-02-21;2022-05-02;400;400;U
22569-110-1;6337-1901-0803;0000022569;000110;1;S;NULL;2022-12-08;2022-12-08;210;210;U
22576-30-1;6782-1401-0002;0000022576;000030;1;S;X;2022-04-01;2022-05-03;384;384;U
22577-10-1;6782-2100-3203;0000022577;000010;1;S;X;2022-03-04;2022-05-03;192;192;U
22577-20-1;6782-1401-0103;0000022577;000020;1;S;X;2022-03-04;2022-05-03;192;192;U
22578-10-1;6782-2100-3203;0000022578;000010;1;S;X;2022-03-02;2022-05-03;768;768;U
22578-20-1;6782-1401-0103;0000022578;000020;1;S;X;2022-03-02;2022-05-03;768;768;U
22585-20-1;6043-2101-4100;0000022585;000020;1;S;X;2022-01-06;2022-01-19;8;8;U
22585-30-1;6043-2101-4600;0000022585;000030;1;S;X;2022-01-06;2022-01-19;3;3;U
22589-10-1;6318-1500-4008;0000022589;000010;1;S;X;2021-10-29;2022-01-03;168;154;U
22592-10-2;6337-1000-0012;0000022592;000010;2;S;NULL;2022-03-14;2022-04-25;30;30;U
22593-20-1;6774-1300-8704;0000022593;000020;1;S;NULL;2022-02-07;2022-03-31;50;50;U
22599-10-1;6782-2100-3203;0000022599;000010;1;S;X;2022-09-05;2022-09-05;624;624;U
22600-10-1;6782-2100-3203;0000022600;000010;1;S;X;2022-11-21;2022-11-21;624;624;U
22602-40-1;6045-1903-5001;0000022602;000040;1;S;NULL;2022-02-02;2022-02-02;137;137;U
22603-10-1;6047-1800-0004;0000022603;000010;1;S;NULL;2022-01-07;2022-02-11;1620;1620;U
22607-10-1;6337-1200-8507;0000022607;000010;1;S;NULL;2022-03-14;2022-03-14;200;200;U
22609-10-1;6649-1300-2410;0000022609;000010;1;S;NULL;2022-04-07;2022-04-07;12;12;U
22613-20-1;6043-2101-4700;0000022613;000020;1;S;X;2021-12-15;2022-02-04;1;1;U
22613-30-1;6043-2101-4500;0000022613;000030;1;S;X;2021-12-15;2022-02-04;1;1;U
22613-40-1;6043-2101-4900;0000022613;000040;1;S;X;2021-12-15;2022-02-04;1;1;U
22614-11-1;6736-1601-6910;0000022614;000011;1;S;X;2022-01-06;2022-01-20;384;384;U
22400-50-1;6782-2100-3303;0000022400;000050;1;S;X;2022-07-15;2022-07-15;200;200;U
22401-40-1;6782-2100-3203;0000022401;000040;1;S;X;2022-05-23;2022-05-23;300;300;U
22407-10-1;6649-2000-2803;0000022407;000010;1;S;NULL;2021-12-23;2022-01-18;25;25;U
22416-10-1;6410-1600-1100;0000022416;000010;1;S;NULL;2022-01-06;2022-02-04;60;60;U
22416-20-1;6410-1600-1100;0000022416;000020;1;S;NULL;2022-01-03;2022-02-18;60;60;U
22128-90-1;6410-1100-2006;0000022128;000090;1;S;NULL;2022-02-03;2022-04-22;80;80;U
22128-100-1;6410-1100-1905;0000022128;000100;1;S;NULL;2021-12-01;2022-01-14;40;40;U
22128-120-1;6410-1100-1905;0000022128;000120;1;S;NULL;2022-01-03;2022-02-04;20;20;U
22128-130-1;6410-1100-2006;0000022128;000130;1;S;NULL;2022-02-03;2022-04-29;80;80;U
22128-140-1;6410-1100-2006;0000022128;000140;1;S;NULL;2022-02-03;2022-05-06;80;80;U
22132-10-1;6799-1300-0026;0000022132;000010;1;S;NULL;2022-01-06;2022-01-31;288;288;U
22132-30-1;6799-1300-0026;0000022132;000030;1;S;NULL;2022-01-28;2022-02-10;288;288;U
22136-10-1;6808-1800-4903;0000022136;000010;1;S;NULL;2022-03-17;2022-03-17;200;200;U
22136-30-1;6808-1600-2511;0000022136;000030;1;S;NULL;2022-01-06;2022-01-28;256;256;U
22137-10-1;6808-1800-4903;0000022137;000010;1;S;NULL;2022-03-24;2022-03-24;200;200;U
22137-30-1;6808-1501-0104;0000022137;000030;1;S;NULL;2022-07-01;2022-07-01;100;100;U
22139-20-1;6808-1800-4903;0000022139;000020;1;S;NULL;2022-04-14;2022-04-14;200;200;U
22140-10-1;6808-1800-4903;0000022140;000010;1;S;NULL;2022-04-28;2022-04-28;400;400;U
22140-20-1;6808-1800-3105;0000022140;000020;1;S;NULL;2022-06-09;2022-06-09;400;400;U
22141-20-1;6808-1800-3105;0000022141;000020;1;S;NULL;2022-04-14;2022-04-14;200;200;U
22143-10-1;6808-1800-4903;0000022143;000010;1;S;NULL;2022-07-01;2022-07-01;200;200;U
22143-20-1;6808-1800-3105;0000022143;000020;1;S;NULL;2022-07-14;2022-07-14;400;400;U
22144-10-1;6808-1800-3105;0000022144;000010;1;S;NULL;2022-07-28;2022-07-28;200;200;U
22165-20-1;6932-1902-8803;0000022165;000020;1;S;NULL;2022-01-13;2022-01-24;400;400;U
22178-10-1;6337-1400-0622;0000022178;000010;1;S;X;2022-01-03;2022-01-03;400;400;U
