ORDERID;PN;SALESORDER;ITEM;SCHEDULELINE;ORDERTYPE;SPLITDELIVERY;REQUESTEDDATE;CONFIRMEDDATE;REQUESTEDQUANTITY;OPENQUANTITY;FLAG
23013-10-2;6661-1200-0004;0000023013;000010;2;S;NULL;2022-01-13;2022-02-01;189;189;I
23016-10-1;6043-2101-4900;0000023016;000010;1;S;NULL;2022-01-31;2022-03-04;1;1;I
23016-20-1;6043-2101-4500;0000023016;000020;1;S;NULL;2022-01-31;2022-03-04;1;1;I
23016-30-1;6043-2101-4700;0000023016;000030;1;S;NULL;2022-01-31;2022-03-04;1;1;I
23016-40-1;6043-2101-4100;0000023016;000040;1;S;NULL;2022-01-31;2022-03-04;5;5;I
23019-10-1;6782-2100-0101;0000023019;000010;1;S;X;2022-05-06;2022-05-06;3000;3000;I
22876-10-1;6047-1800-0004;0000022876;000010;1;S;NULL;2022-01-31;2022-02-01;1620;1620;U
22879-10-1;6736-1506-8708;0000022879;000010;1;S;X;2022-01-20;2022-02-11;480;480;U
22469-15-1;6934-1802-8104;0000022469;000015;1;S;NULL;2022-02-16;2022-03-17;30;30;U
22469-17-1;6934-1802-8104;0000022469;000017;1;S;NULL;2022-02-16;2022-03-17;40;40;U
22482-10-1;6799-1600-2109;0000022482;000010;1;S;NULL;2022-01-06;2022-02-10;100;100;U
22486-10-1;6736-1400-1816;0000022486;000010;1;S;NULL;2021-12-17;2021-12-17;40;38;U
22508-10-1;6410-2001-2802;0000022508;000010;1;S;NULL;2021-12-13;2022-04-08;90;90;U
22510-20-1;6337-1300-3601;0000022510;000020;1;S;NULL;2022-02-21;2022-02-21;50;50;U
22518-20-1;6337-1200-0200;0000022518;000020;1;S;NULL;2021-12-23;2022-01-13;180;180;U
22529-10-1;6808-1800-4903;0000022529;000010;1;S;NULL;2022-05-12;2022-05-12;400;400;U
22534-10-1;6410-0600-6017;0000022534;000010;1;S;NULL;2022-01-03;2022-03-04;50;50;U
22535-10-1;6736-1506-8708;0000022535;000010;1;S;X;2022-01-06;2022-01-14;480;480;U
22541-10-1;6799-1300-0026;0000022541;000010;1;S;NULL;2022-03-03;2022-03-03;192;192;U
22545-20-1;6043-2101-4400;0000022545;000020;1;S;X;2022-01-06;2022-01-19;1;1;U
22545-30-1;6043-2101-4500;0000022545;000030;1;S;X;2022-01-06;2022-01-19;1;1;U
22545-40-1;6043-2101-4900;0000022545;000040;1;S;X;2022-01-06;2022-01-19;1;1;U
22554-10-1;6649-1300-2410;0000022554;000010;1;S;NULL;2022-04-07;2022-04-07;20;20;U
22556-10-1;6045-1904-6301;0000022556;000010;1;S;NULL;2022-02-02;2022-02-02;59;59;U
22566-10-1;6736-1900-0306;0000022566;000010;1;S;X;2022-01-06;2022-02-04;96;96;U
22569-20-1;6337-1000-0012;0000022569;000020;1;S;NULL;2022-04-04;2022-05-23;400;400;U
22569-30-1;6337-1000-0012;0000022569;000030;1;S;NULL;2022-06-16;2022-06-27;400;400;U
22569-60-1;6337-1800-2606;0000022569;000060;1;S;NULL;2022-03-07;2022-03-14;200;200;U
22570-50-1;6337-1901-0803;0000022570;000050;1;S;NULL;2022-04-15;2023-01-03;200;200;U
22572-10-1;6337-1200-8507;0000022572;000010;1;S;NULL;2022-01-24;2022-01-24;700;700;U
22573-10-1;6799-1500-0301;0000022573;000010;1;S;NULL;2022-01-06;2022-02-11;10;10;U
22576-10-1;6782-2100-3203;0000022576;000010;1;S;X;2022-04-01;2022-05-03;384;384;U
22576-20-1;6782-1401-0103;0000022576;000020;1;S;X;2022-04-01;2022-05-03;384;384;U
22577-30-1;6782-1401-0002;0000022577;000030;1;S;X;2022-03-04;2022-05-03;192;192;U
22578-30-1;6782-1401-0002;0000022578;000030;1;S;X;2022-03-02;2022-05-03;768;768;U
22584-20-1;6043-2101-4600;0000022584;000020;1;S;X;2022-01-05;2022-01-11;3;3;U
22584-30-1;6043-2101-4700;0000022584;000030;1;S;X;2022-01-05;2022-01-11;1;1;U
22584-40-1;6043-2101-4500;0000022584;000040;1;S;X;2022-01-05;2022-01-11;1;1;U
22584-50-1;6043-2101-4900;0000022584;000050;1;S;X;2022-01-05;2022-01-11;1;1;U
22585-40-1;6043-2101-4700;0000022585;000040;1;S;X;2022-01-05;2022-01-19;1;1;U
22585-50-1;6043-2101-4500;0000022585;000050;1;S;X;2022-01-05;2022-01-19;1;1;U
22585-60-1;6043-2101-4900;0000022585;000060;1;S;X;2022-01-05;2022-01-19;1;1;U
22592-20-1;6337-1000-0012;0000022592;000020;1;S;NULL;2022-03-14;2022-05-02;40;40;U
22592-30-1;6337-1000-0012;0000022592;000030;1;S;NULL;2022-03-14;2022-05-02;40;40;U
22593-10-1;6774-1400-0701;0000022593;000010;1;S;NULL;2022-02-07;2022-03-03;100;100;U
22593-30-1;6774-1200-0006;0000022593;000030;1;S;NULL;2022-02-07;2022-04-21;100;100;U
22594-10-1;6774-1400-0701;0000022594;000010;1;S;NULL;2022-02-21;2022-03-03;100;100;U
22594-20-1;6774-1200-0006;0000022594;000020;1;S;NULL;2022-02-28;2022-04-28;100;100;U
22595-10-1;6774-1301-7900;0000022595;000010;1;S;NULL;2022-03-07;2022-04-07;30;30;U
22595-20-1;6774-1200-5707;0000022595;000020;1;S;NULL;2022-03-07;2022-03-30;50;50;U
22595-30-1;6774-1800-1800;0000022595;000030;1;S;NULL;2022-03-07;2022-03-24;25;25;U
22601-30-1;6782-2100-3203;0000022601;000030;1;S;X;2023-10-03;2023-10-03;200;200;U
22604-10-1;6736-1506-8708;0000022604;000010;1;S;X;2022-01-06;2022-01-21;240;240;U
22608-10-1;6649-1300-2410;0000022608;000010;1;S;NULL;2022-04-07;2022-04-07;8;8;U
22620-10-1;6337-1300-2501;0000022620;000010;1;S;NULL;2022-02-07;2022-02-07;1200;1200;U
22623-10-1;6736-1900-0306;0000022623;000010;1;S;X;2022-01-06;2022-02-11;96;96;U
22626-10-1;6043-2101-4100;0000022626;000010;1;S;X;2022-01-10;2022-01-11;2;2;U
22626-30-1;6043-2101-4100;0000022626;000030;1;S;X;2022-01-10;2022-01-11;4;4;U
22626-40-1;6043-2101-4700;0000022626;000040;1;S;X;2022-01-05;2022-01-11;1;1;U
22626-50-1;6043-2101-4500;0000022626;000050;1;S;X;2022-01-05;2022-01-11;1;1;U
22626-60-1;6043-2101-4900;0000022626;000060;1;S;X;2022-01-05;2022-01-11;1;1;U
22649-10-1;6023-1702-0405;0000022649;000010;1;S;NULL;2022-02-01;2022-02-01;1000;1000;U
22650-10-1;6023-1702-0405;0000022650;000010;1;S;NULL;2022-02-01;2022-02-01;500;500;U
22651-10-1;6023-1702-2905;0000022651;000010;1;S;NULL;2022-01-06;2022-01-25;289;289;U
22656-10-1;6043-2101-4100;0000022656;000010;1;S;NULL;2022-01-07;2022-01-07;1;1;U
22661-10-1;6337-1200-8507;0000022661;000010;1;S;NULL;2022-03-07;2022-03-07;700;700;U
22665-10-1;6337-1000-0012;0000022665;000010;1;S;NULL;2022-03-21;2022-05-09;500;500;U
22666-10-1;6337-1000-0012;0000022666;000010;1;S;NULL;2022-02-21;2022-02-21;500;500;U
22671-10-1;6337-1600-2218;0000022671;000010;1;S;NULL;2022-04-11;2023-01-03;100;100;U
22672-10-1;6337-1600-2218;0000022672;000010;1;S;NULL;2022-04-15;2023-01-03;100;100;U
22673-10-1;6337-1600-2218;0000022673;000010;1;S;NULL;2022-04-25;2023-01-03;100;100;U
22685-20-1;6808-1800-3105;0000022685;000020;1;S;NULL;2022-05-12;2022-05-12;400;400;U
22686-20-1;6043-2101-4100;0000022686;000020;1;S;X;2021-12-30;2022-01-20;1;1;U
22686-30-1;6043-2101-4700;0000022686;000030;1;S;X;2021-12-30;2022-01-20;1;1;U
22686-40-1;6043-2101-4500;0000022686;000040;1;S;X;2021-12-30;2022-01-20;1;1;U
22686-50-1;6043-2101-4900;0000022686;000050;1;S;X;2021-12-30;2022-01-20;1;1;U
22690-20-1;6318-2000-0504;0000022690;000020;1;S;NULL;2022-03-09;2022-03-09;100;100;U
22696-20-1;6318-2000-0504;0000022696;000020;1;S;NULL;2022-07-06;2022-07-06;100;100;U
22696-30-1;6318-2000-0504;0000022696;000030;1;S;NULL;2022-08-10;2022-08-10;100;100;U
22697-21-1;6318-1600-0802;0000022697;000021;1;S;NULL;2022-02-09;2022-03-23;100;100;U
22697-71-1;6318-1600-0802;0000022697;000071;1;S;NULL;2022-07-06;2022-07-06;100;100;U
22705-10-1;6782-2100-3203;0000022705;000010;1;S;X;2022-04-15;2022-05-03;192;192;U
22710-10-1;6799-1601-2806;0000022710;000010;1;S;NULL;2022-01-06;2022-01-18;100;100;U
22725-10-1;6043-2101-4600;0000022725;000010;1;S;X;2021-12-30;2022-01-20;4;4;U
22725-20-1;6043-2101-4100;0000022725;000020;1;S;X;2021-12-30;2022-01-20;1;1;U
22725-40-1;6043-2101-4700;0000022725;000040;1;S;X;2021-12-30;2022-01-20;1;1;U
22725-50-1;6043-2101-4500;0000022725;000050;1;S;X;2021-12-30;2022-01-20;1;1;U
22725-60-1;6043-2101-4900;0000022725;000060;1;S;X;2021-12-30;2022-01-20;1;1;U
22728-10-1;6043-2101-4600;0000022728;000010;1;S;X;2022-01-06;2022-02-04;3;3;U
22728-20-1;6043-2101-4100;0000022728;000020;1;S;X;2022-01-06;2022-02-04;6;6;U
22730-20-1;6337-1600-2218;0000022730;000020;1;S;NULL;2022-04-04;2023-01-03;18;18;U
22731-20-1;6047-2100-0502;0000022731;000020;1;S;NULL;2022-01-06;2022-02-15;30;30;U
22739-11-1;6736-1601-6910;0000022739;000011;1;S;X;2022-01-06;2022-01-25;288;288;U
22744-10-1;6782-2100-3203;0000022744;000010;1;S;X;2022-06-28;2022-06-28;900;900;U
22747-30-1;6782-2100-3203;0000022747;000030;1;S;X;2022-07-01;2022-07-01;192;192;U
22756-20-1;6410-1100-1605;0000022756;000020;1;S;NULL;2022-01-03;2022-02-18;50;50;U
22757-10-1;6761-1200-5703;0000022757;000010;1;S;NULL;2022-01-07;2022-01-07;100;100;U
22757-10-2;6761-1200-5703;0000022757;000010;2;S;NULL;2022-01-07;2022-05-02;564;564;U
22759-50-1;6337-1300-2501;0000022759;000050;1;S;NULL;2021-12-23;2022-01-03;30;30;U
22759-60-1;6337-1300-2501;0000022759;000060;1;S;NULL;2021-12-23;2022-01-03;30;30;U
22761-20-1;6337-1000-0012;0000022761;000020;1;S;NULL;2022-01-10;2022-01-10;10;10;U
22761-40-1;6337-1000-0012;0000022761;000040;1;S;NULL;2022-02-07;2022-03-21;40;40;U
22761-70-1;6337-1000-0012;0000022761;000070;1;S;NULL;2022-06-02;2022-06-27;40;40;U
22763-40-1;6337-1400-0622;0000022763;000040;1;S;NULL;2022-02-28;2022-02-28;8;8;U
22765-20-1;6043-2101-4100;0000022765;000020;1;S;X;2021-11-19;2022-02-01;1;1;U
22765-30-1;6043-2101-4700;0000022765;000030;1;S;X;2022-01-06;2022-02-01;1;1;U
23019-30-1;6782-1401-0103;0000023019;000030;1;S;X;2022-05-06;2022-05-06;3000;3000;I
23020-10-1;6337-2000-0401;0000023020;000010;1;S;NULL;2022-02-14;2022-02-14;100;100;I
23021-10-1;6736-1400-1815;0000023021;000010;1;S;X;2022-02-03;2022-02-17;400;400;I
23022-10-1;6298-2102-0100;0000023022;000010;1;S;NULL;2022-02-23;2022-05-02;1080;1080;I
23022-20-1;6298-2102-9600;0000023022;000020;1;S;NULL;2022-03-02;2022-05-02;240;240;I
23026-10-1;6782-2100-3303;0000023026;000010;1;S;X;2022-06-24;2022-06-24;1000;1000;I
23026-30-1;6782-1401-0103;0000023026;000030;1;S;X;2022-06-24;2022-06-24;1000;1000;I
23028-10-1;6934-1805-6400;0000023028;000010;1;S;NULL;2022-01-19;2022-01-19;10;10;I
23029-20-1;6799-2101-3500;0000023029;000020;1;S;NULL;2022-04-01;2022-04-01;32;32;I
23029-30-1;6799-2101-3600;0000023029;000030;1;S;NULL;2022-04-01;2022-04-01;30;30;I
23029-40-1;6799-2101-3400;0000023029;000040;1;S;NULL;2022-04-01;2022-04-01;30;30;I
23032-10-1;6782-2100-3203;0000023032;000010;1;S;X;2022-01-07;2022-03-01;2000;2000;I
23032-30-1;6782-1401-0103;0000023032;000030;1;S;X;2022-01-07;2022-03-01;2000;2000;I
23033-20-1;6045-1904-5001;0000023033;000020;1;S;NULL;2022-01-07;2022-01-07;18;18;I
23035-10-1;6337-1700-5601;0000023035;000010;1;S;NULL;2022-03-18;2022-05-10;3500;3500;I
22579-10-2;6318-1700-2608;0000022579;000010;2;S;X;2021-12-21;2022-01-03;142;56;I
22627-10-2;6045-1903-5700;0000022627;000010;2;S;NULL;2022-01-03;2022-01-28;753;753;I
22630-10-1;6337-1300-2501;0000022630;000010;1;S;NULL;2022-01-17;2022-01-17;252;192;I
23036-10-1;6661-2000-0000;0000023036;000010;1;S;NULL;2022-02-15;2022-02-15;1000;1000;I
23037-10-1;6661-1100-2605;0000023037;000010;1;S;NULL;2022-01-19;2022-01-19;120;120;I
23041-10-1;6043-2101-4500;0000023041;000010;1;S;X;2022-01-10;2022-03-01;1;1;I
23041-20-1;6043-2101-4900;0000023041;000020;1;S;X;2022-01-10;2022-03-01;1;1;I
23041-30-1;6043-2101-4700;0000023041;000030;1;S;X;2022-01-10;2022-03-01;1;1;I
23041-40-1;6043-2101-4600;0000023041;000040;1;S;X;2022-01-10;2022-03-01;3;3;I
23042-10-1;6649-1400-0509;0000023042;000010;1;S;NULL;2022-03-30;2022-03-30;500;500;I
22738-10-2;6602-1700-8002;0000022738;000010;2;S;NULL;2022-01-06;2022-01-13;3501;3501;I
22752-30-1;6045-1903-5102;0000022752;000030;1;S;NULL;2022-01-07;2022-01-07;50;50;I
22787-10-2;6602-1700-8002;0000022787;000010;2;S;NULL;2022-01-03;2022-02-07;440;440;I
22812-10-2;6045-2000-4402;0000022812;000010;2;S;NULL;2022-01-03;2022-01-21;157;157;I
22892-30-1;6043-2101-4100;0000022892;000030;1;S;X;2022-01-06;2022-02-11;16;16;I
22895-10-1;6045-2002-1401;0000022895;000010;1;S;NULL;2022-01-17;2022-02-04;100;100;I
22897-10-1;6782-2100-3203;0000022897;000010;1;S;X;2022-12-08;2022-12-08;624;624;I
22898-10-1;6782-2100-3203;0000022898;000010;1;S;X;2023-01-06;2023-01-06;624;624;I
22899-30-1;6799-1300-0026;0000022899;000030;1;S;NULL;2022-04-05;2022-04-05;288;288;I
22899-50-1;6799-1300-0026;0000022899;000050;1;S;NULL;2022-04-19;2022-04-19;288;288;I
22899-80-1;6799-1900-3304;0000022899;000080;1;S;NULL;2022-02-03;2022-02-10;30;30;I
22900-10-1;6023-1701-0008;0000022900;000010;1;S;NULL;2022-03-01;2022-04-01;500;500;I
22900-30-1;6023-1701-0008;0000022900;000030;1;S;NULL;2022-11-18;2022-11-18;500;500;I
22904-10-1;6736-1900-0306;0000022904;000010;1;S;X;2022-01-10;2022-02-10;96;96;I
22905-10-1;6736-1506-8708;0000022905;000010;1;S;X;2022-01-24;2022-02-10;360;360;I
22906-10-1;6736-1400-1815;0000022906;000010;1;S;X;2022-01-24;2022-03-03;400;400;I
22907-10-1;6736-1503-9318;0000022907;000010;1;S;X;2022-01-28;2022-02-11;60;60;I
22908-10-1;6736-1601-6910;0000022908;000010;1;S;X;2022-01-24;2022-02-14;480;480;I
22909-10-1;6736-1900-0306;0000022909;000010;1;S;X;2022-01-17;2022-02-07;96;96;I
22916-30-1;6782-1401-0002;0000022916;000030;1;S;X;2022-10-21;2022-10-21;288;288;I
22917-10-1;6782-2100-3203;0000022917;000010;1;S;X;2023-01-20;2023-01-20;240;240;I
22917-20-1;6782-1401-0103;0000022917;000020;1;S;X;2023-01-20;2023-01-20;240;240;I
22918-30-1;6782-1401-0002;0000022918;000030;1;S;X;2023-03-17;2023-03-17;192;192;I
22920-10-1;6774-1200-6301;0000022920;000010;1;S;NULL;2022-03-10;2022-04-05;30;30;I
22920-50-1;6774-1200-0006;0000022920;000050;1;S;NULL;2022-03-17;2022-05-03;100;100;I
22920-60-1;6774-1300-0301;0000022920;000060;1;S;NULL;2022-03-17;2022-06-15;100;100;I
22921-20-1;6774-1400-0701;0000022921;000020;1;S;NULL;2022-04-11;2022-04-11;200;200;I
22921-30-1;6774-1300-8704;0000022921;000030;1;S;NULL;2022-04-11;2022-04-11;50;50;I
22921-40-1;6774-1200-0006;0000022921;000040;1;S;NULL;2022-04-15;2022-04-15;100;100;I
22921-60-1;6774-1200-5105;0000022921;000060;1;S;NULL;2022-04-15;2022-04-15;50;50;I
22922-10-1;6774-1301-7900;0000022922;000010;1;S;NULL;2022-04-28;2022-04-28;30;30;I
22924-10-1;6782-2100-3303;0000022924;000010;1;S;X;2022-11-01;2022-11-01;432;432;I
22925-10-1;6782-2100-3303;0000022925;000010;1;S;X;2023-02-01;2023-02-01;384;384;I
22926-10-1;6782-2100-3303;0000022926;000010;1;S;X;2023-05-01;2023-05-01;432;432;I
22928-20-1;6782-2100-3203;0000022928;000020;1;S;X;2024-02-01;2024-02-01;384;384;I
22929-20-1;6782-2100-3203;0000022929;000020;1;S;X;2024-03-01;2024-03-01;336;336;I
22930-10-1;6782-2100-3303;0000022930;000010;1;S;X;2024-03-29;2024-03-29;432;432;I
22931-10-1;6782-2100-3303;0000022931;000010;1;S;X;2024-05-01;2024-05-01;384;384;I
22933-10-1;6782-2100-3203;0000022933;000010;1;S;X;2024-07-01;2024-07-01;288;288;I
22935-10-1;6782-2100-3203;0000022935;000010;1;S;X;2024-08-30;2024-08-30;288;288;I
22936-10-1;6782-2100-3303;0000022936;000010;1;S;X;2024-10-01;2024-10-01;336;336;I
22938-10-1;6782-2100-3203;0000022938;000010;1;S;X;2024-11-29;2024-11-29;1152;1152;I
22941-10-1;6744-1900-1600;0000022941;000010;1;S;NULL;2022-01-19;2022-02-04;100;100;I
22941-50-1;6744-1900-4300;0000022941;000050;1;S;NULL;2022-01-21;2022-02-04;400;400;I
22941-80-1;6744-1900-9401;0000022941;000080;1;S;NULL;2022-01-21;2022-02-04;200;200;I
22942-10-1;6298-2102-0100;0000022942;000010;1;S;NULL;2022-03-23;2022-03-23;1080;1080;I
22942-30-1;6298-2102-0100;0000022942;000030;1;S;NULL;2022-05-11;2022-05-11;1080;1080;I
22943-10-1;6043-2101-4900;0000022943;000010;1;S;NULL;2022-01-20;2022-03-04;2;2;I
22943-20-1;6043-2101-4100;0000022943;000020;1;S;NULL;2022-01-20;2022-03-04;5;5;I
22944-10-1;6043-2101-4100;0000022944;000010;1;S;NULL;2022-01-20;2022-03-04;5;5;I
22944-20-1;6043-2101-4900;0000022944;000020;1;S;NULL;2022-01-20;2022-03-04;3;3;I
22944-30-1;6043-2101-4700;0000022944;000030;1;S;NULL;2022-01-20;2022-03-04;1;1;I
22944-40-1;6043-2101-4500;0000022944;000040;1;S;NULL;2022-01-20;2022-03-04;1;1;I
22944-50-1;6043-2101-4900;0000022944;000050;1;S;NULL;2022-01-20;2022-03-04;1;1;I
22950-10-1;6782-2100-3103;0000022950;000010;1;S;X;2022-03-22;2022-05-03;240;240;I
22951-10-1;6782-2100-3203;0000022951;000010;1;S;X;2022-09-07;2022-09-07;624;624;I
22952-10-1;6799-2100-0200;0000022952;000010;1;S;NULL;2022-01-06;2022-01-21;60;60;I
22956-10-1;6782-2100-3203;0000022956;000010;1;S;X;2022-05-06;2022-05-06;2000;2000;I
22956-20-1;6782-1401-0002;0000022956;000020;1;S;X;2022-05-06;2022-05-06;2000;2000;I
22956-30-1;6782-1401-0103;0000022956;000030;1;S;X;2022-05-06;2022-05-06;2000;2000;I
22957-10-1;6782-1401-0103;0000022957;000010;1;S;X;2023-07-18;2023-07-18;225;225;I
22957-20-1;6782-1401-0002;0000022957;000020;1;S;X;2023-07-18;2023-07-18;225;225;I
22957-30-1;6782-2100-3103;0000022957;000030;1;S;X;2023-07-18;2023-07-18;225;225;I
22958-10-1;6782-2100-3203;0000022958;000010;1;S;X;2022-05-09;2022-05-09;2000;2000;I
22958-20-1;6782-1401-0002;0000022958;000020;1;S;X;2022-05-09;2022-05-09;2000;2000;I
22958-30-1;6782-1401-0103;0000022958;000030;1;S;X;2022-05-09;2022-05-09;2000;2000;I
22959-20-1;6782-1401-0002;0000022959;000020;1;S;X;2022-05-09;2022-05-09;2000;2000;I
22960-10-1;6661-1001-0207;0000022960;000010;1;S;NULL;2022-05-16;2022-05-16;100;100;I
22961-10-1;6298-1701-5706;0000022961;000010;1;S;NULL;2022-06-29;2022-06-29;480;480;I
22961-20-1;6298-1701-5706;0000022961;000020;1;S;NULL;2022-07-06;2022-07-06;480;480;I
22961-30-1;6298-1701-5706;0000022961;000030;1;S;NULL;2022-07-13;2022-07-13;480;480;I
22961-40-1;6298-1701-5706;0000022961;000040;1;S;NULL;2022-07-20;2022-07-20;240;240;I
22961-50-1;6298-1701-5706;0000022961;000050;1;S;NULL;2022-08-31;2022-08-31;480;480;I
22962-10-1;6043-2101-4600;0000022962;000010;1;S;NULL;2022-01-06;2022-02-18;4;4;I
22962-20-1;6043-2101-4100;0000022962;000020;1;S;NULL;2022-01-06;2022-02-18;1;1;I
22962-30-1;6043-2101-4700;0000022962;000030;1;S;NULL;2022-01-06;2022-02-18;1;1;I
22962-40-1;6043-2101-4500;0000022962;000040;1;S;NULL;2022-01-06;2022-02-18;1;1;I
22962-50-1;6043-2101-4900;0000022962;000050;1;S;NULL;2022-01-06;2022-02-18;1;1;I
22965-10-1;6782-1401-0103;0000022965;000010;1;S;X;2022-05-09;2022-05-09;192;192;I
22965-20-1;6782-1401-0002;0000022965;000020;1;S;X;2022-05-09;2022-05-09;192;192;I
22965-30-1;6782-2100-3303;0000022965;000030;1;S;X;2022-05-09;2022-05-09;192;192;I
22968-10-1;6736-1902-0602;0000022968;000010;1;S;X;2022-01-27;2022-01-31;80;80;I
22973-10-1;6298-1200-4404;0000022973;000010;1;S;NULL;2022-03-09;2022-03-09;240;240;I
22973-20-1;6298-1300-3904;0000022973;000020;1;S;NULL;2022-03-09;2022-03-09;1080;1080;I
22973-30-1;6298-1300-3904;0000022973;000030;1;S;NULL;2022-06-08;2022-06-08;1080;1080;I
22974-10-1;6661-1100-2509;0000022974;000010;1;S;NULL;2022-01-06;2022-01-13;60;60;I
22975-10-1;6043-2101-4700;0000022975;000010;1;S;NULL;2022-01-28;2022-03-04;1;1;I
22975-20-1;6043-2101-4900;0000022975;000020;1;S;NULL;2022-01-28;2022-03-04;1;1;I
22975-30-1;6043-2101-4500;0000022975;000030;1;S;NULL;2022-01-28;2022-03-04;1;1;I
22983-10-1;6043-2101-4700;0000022983;000010;1;S;NULL;2022-01-14;2022-02-25;1;1;I
22983-20-1;6043-2101-4900;0000022983;000020;1;S;NULL;2022-01-14;2022-02-25;1;1;I
22983-30-1;6043-2101-4500;0000022983;000030;1;S;NULL;2022-01-14;2022-02-25;1;1;I
22990-20-1;6602-1700-1304;0000022990;000020;1;S;NULL;2022-02-24;2022-02-24;6000;6000;I
22990-30-1;6602-1700-1201;0000022990;000030;1;S;NULL;2022-02-24;2022-02-24;6000;6000;I
22991-30-1;6043-2101-4100;0000022991;000030;1;S;NULL;2022-01-07;2022-02-18;51;51;I
22992-10-1;6043-2101-4100;0000022992;000010;1;S;NULL;2022-01-14;2022-02-25;5;5;I
22994-10-1;6043-2101-4900;0000022994;000010;1;S;NULL;2022-01-27;2022-03-04;5;5;I
22994-20-1;6043-2101-4100;0000022994;000020;1;S;NULL;2022-01-27;2022-03-04;5;5;I
22995-10-1;6043-2101-4600;0000022995;000010;1;S;NULL;2021-12-27;2022-02-11;1;1;I
22995-20-1;6043-2101-4700;0000022995;000020;1;S;NULL;2021-12-27;2022-02-11;1;1;I
22995-30-1;6043-2101-4900;0000022995;000030;1;S;NULL;2021-12-27;2022-02-11;1;1;I
22995-40-1;6043-2101-4500;0000022995;000040;1;S;NULL;2021-12-27;2022-02-11;1;1;I
22997-10-1;6736-1702-0303;0000022997;000010;1;S;NULL;2021-12-27;2022-04-25;24;24;I
22997-20-1;6736-1701-9804;0000022997;000020;1;S;NULL;2021-12-27;2021-12-27;8;8;I
22998-10-1;6207-2100-0100;0000022998;000010;1;S;NULL;2022-01-07;2022-01-07;50;50;I
22998-20-1;6207-2101-7900;0000022998;000020;1;S;NULL;2022-01-07;2022-04-26;50;50;I
23001-50-1;6043-2101-4100;0000023001;000050;1;S;NULL;2022-01-17;2022-03-04;3;3;I
23011-10-1;6736-1506-8708;0000023011;000010;1;S;X;2022-01-05;2022-02-17;360;360;I
23012-10-1;6050-1900-2401;0000023012;000010;1;S;NULL;2022-04-20;2022-04-20;500;500;I
23014-10-1;6410-1100-6801;0000023014;000010;1;S;NULL;2022-02-24;2022-02-24;600;600;I
23015-10-1;6661-1100-2605;0000023015;000010;1;S;NULL;2022-01-12;2022-01-12;60;60;I
23019-20-1;6782-1401-0002;0000023019;000020;1;S;X;2022-05-06;2022-05-06;3000;3000;I
23026-20-1;6782-1401-0002;0000023026;000020;1;S;X;2022-06-24;2022-06-24;1000;1000;I
23027-10-1;6799-1900-3401;0000023027;000010;1;S;NULL;2022-02-10;2022-02-10;30;30;I
23028-20-1;6934-1805-7001;0000023028;000020;1;S;NULL;2022-01-19;2022-01-19;10;10;I
23028-30-1;6934-1800-1901;0000023028;000030;1;S;NULL;2022-01-19;2022-01-19;5;5;I
23029-10-1;6799-2101-0100;0000023029;000010;1;S;NULL;2022-04-01;2022-05-06;24;24;I
23032-20-1;6782-1401-0002;0000023032;000020;1;S;X;2022-01-07;2022-03-01;2000;2000;I
23034-10-1;6782-1401-0002;0000023034;000010;1;S;X;2022-04-11;2022-04-11;1728;1728;I
23034-20-1;6782-1401-0103;0000023034;000020;1;S;X;2022-04-11;2022-04-11;1824;1824;I
23034-30-1;6782-1902-8900;0000023034;000030;1;S;X;2022-04-11;2022-04-11;200;200;I
23037-20-1;6661-1100-2509;0000023037;000020;1;S;NULL;2022-01-19;2022-01-19;120;120;I
23038-10-1;6736-1506-8708;0000023038;000010;1;S;X;2022-02-10;2022-02-10;240;240;I
23039-10-1;6045-2000-4402;0000023039;000010;1;S;NULL;2022-03-01;2022-03-01;175;175;I
23040-10-1;6045-2000-4402;0000023040;000010;1;S;NULL;2022-03-01;2022-03-01;175;175;I
23043-10-1;6602-1700-8002;0000023043;000010;1;S;NULL;2022-02-03;2022-03-01;5440;5440;I
23043-20-1;6602-1200-0303;0000023043;000020;1;S;NULL;2022-02-03;2022-05-10;5400;5400;I
23043-30-1;6602-1700-1201;0000023043;000030;1;S;NULL;2022-02-03;2022-04-01;6000;6000;I
22492-10-3;6661-1001-0407;0000022492;000010;3;S;NULL;2021-11-30;2022-03-28;2;2;D
22861-40-1;6661-1300-3506;0000022861;000040;1;S;NULL;2022-01-14;2022-01-14;300;300;D
22861-60-1;6661-1501-9701;0000022861;000060;1;S;NULL;2022-01-14;2022-01-14;1115;1115;D
22862-10-1;6045-1903-5501;0000022862;000010;1;S;NULL;2022-02-11;2022-02-11;50;50;D
22870-20-1;6661-1100-2509;0000022870;000020;1;S;NULL;2021-12-15;2021-12-15;90;90;D
22885-10-1;6337-0700-7101;0000022885;000010;1;S;NULL;2022-01-04;2022-01-04;80;80;D
22704-10-1;6782-2100-3202;0000022704;000010;1;S;X;2022-02-01;2022-02-01;192;192;D
22723-20-1;6661-1200-0004;0000022723;000020;1;S;NULL;2021-12-03;2021-12-06;12;12;D
22723-20-2;6661-1200-0004;0000022723;000020;2;S;NULL;2021-12-03;2021-12-16;48;48;D
22738-10-1;6602-1700-8002;0000022738;000010;1;S;NULL;2021-12-02;2022-01-06;5440;5440;D
