Entity,EntityID,EventName,EventID,LocationID,LocationName,Time
Item,1081,Trailer Transport,152,__export__.mrp_workcenter_66_9f807a30->__export__.mrp_workcenter_68_8bff6631,BW_(BKW_01)->OUT - Outsourced activity_(OUT - Outsourced),2026-05-12 14:27:00
Item,1081,Trailer Unloading,153,49,OUT - Outsourced activity_(OUT - Outsourced)_Input,2026-05-12 14:28:00
Item,1081,Machine Loading,154,__export__.mrp_workcenter_68_8bff6631,OUT - Outsourced activity_(OUT - Outsourced),2026-05-12 14:30:00
Item,1082,Trailer Loading,79,1,Central_Inventory,2026-05-12 08:49:00
Item,1082,Trailer Transport,86,1->__export__.mrp_workcenter_66_9f807a30,Central_Inventory->BW_(BKW_01),2026-05-12 08:50:00
Item,1082,Trailer Unloading,87,43,BW_(BKW_01)_Input,2026-05-12 08:51:00
Item,1082,Machine Loading,120,__export__.mrp_workcenter_66_9f807a30,BW_(BKW_01),2026-05-12 10:21:00
Item,1082,Processing,124,__export__.mrp_workcenter_66_9f807a30,BW_(BKW_01),2026-05-12 14:21:00
Item,1082,Machine Unloading,145,44,BW_(BKW_01)_Output,2026-05-12 14:24:00
Item,1082,Trailer Loading,147,__export__.mrp_workcenter_66_9f807a30,BW_(BKW_01),2026-05-12 14:26:00
Item,1082,Trailer Transport,152,__export__.mrp_workcenter_66_9f807a30->__export__.mrp_workcenter_68_8bff6631,BW_(BKW_01)->OUT - Outsourced activity_(OUT - Outsourced),2026-05-12 14:27:00
Item,1082,Trailer Unloading,153,49,OUT - Outsourced activity_(OUT - Outsourced)_Input,2026-05-12 14:28:00
Item,1082,Machine Loading,154,__export__.mrp_workcenter_68_8bff6631,OUT - Outsourced activity_(OUT - Outsourced),2026-05-12 14:30:00
Item,1083,Trailer Loading,79,1,Central_Inventory,2026-05-12 08:49:00
Item,1083,Trailer Transport,86,1->__export__.mrp_workcenter_66_9f807a30,Central_Inventory->BW_(BKW_01),2026-05-12 08:50:00
Item,1083,Trailer Unloading,87,43,BW_(BKW_01)_Input,2026-05-12 08:51:00
Item,1083,Machine Loading,120,__export__.mrp_workcenter_66_9f807a30,BW_(BKW_01),2026-05-12 10:21:00
Item,1083,Processing,124,__export__.mrp_workcenter_66_9f807a30,BW_(BKW_01),2026-05-12 14:21:00
Item,1083,Machine Unloading,145,44,BW_(BKW_01)_Output,2026-05-12 14:24:00
Item,1083,Trailer Loading,147,__export__.mrp_workcenter_66_9f807a30,BW_(BKW_01),2026-05-12 14:26:00
Item,1083,Trailer Transport,152,__export__.mrp_workcenter_66_9f807a30->__export__.mrp_workcenter_68_8bff6631,BW_(BKW_01)->OUT - Outsourced activity_(OUT - Outsourced),2026-05-12 14:27:00
Item,1083,Trailer Unloading,153,49,OUT - Outsourced activity_(OUT - Outsourced)_Input,2026-05-12 14:28:00
Item,1083,Machine Loading,154,__export__.mrp_workcenter_68_8bff6631,OUT - Outsourced activity_(OUT - Outsourced),2026-05-12 14:30:00
Item,1084,Trailer Loading,79,1,Central_Inventory,2026-05-12 08:49:00
Item,1084,Trailer Transport,86,1->__export__.mrp_workcenter_66_9f807a30,Central_Inventory->BW_(BKW_01),2026-05-12 08:50:00
Item,1084,Trailer Unloading,87,43,BW_(BKW_01)_Input,2026-05-12 08:51:00
Item,1084,Machine Loading,120,__export__.mrp_workcenter_66_9f807a30,BW_(BKW_01),2026-05-12 10:21:00
Item,1084,Processing,124,__export__.mrp_workcenter_66_9f807a30,BW_(BKW_01),2026-05-12 14:21:00
Item,1084,Machine Unloading,145,44,BW_(BKW_01)_Output,2026-05-12 14:24:00
Item,1084,Trailer Loading,147,__export__.mrp_workcenter_66_9f807a30,BW_(BKW_01),2026-05-12 14:26:00
Item,1084,Trailer Transport,152,__export__.mrp_workcenter_66_9f807a30->__export__.mrp_workcenter_68_8bff6631,BW_(BKW_01)->OUT - Outsourced activity_(OUT - Outsourced),2026-05-12 14:27:00
Item,1084,Trailer Unloading,153,49,OUT - Outsourced activity_(OUT - Outsourced)_Input,2026-05-12 14:28:00
Item,1084,Machine Loading,154,__export__.mrp_workcenter_68_8bff6631,OUT - Outsourced activity_(OUT - Outsourced),2026-05-12 14:30:00
Item,1085,Trailer Loading,79,1,Central_Inventory,2026-05-12 08:49:00
Item,1085,Trailer Transport,86,1->__export__.mrp_workcenter_66_9f807a30,Central_Inventory->BW_(BKW_01),2026-05-12 08:50:00
Item,1085,Trailer Unloading,87,43,BW_(BKW_01)_Input,2026-05-12 08:51:00
Item,1085,Machine Loading,120,__export__.mrp_workcenter_66_9f807a30,BW_(BKW_01),2026-05-12 10:21:00
Item,1085,Processing,124,__export__.mrp_workcenter_66_9f807a30,BW_(BKW_01),2026-05-12 14:21:00
Item,1085,Machine Unloading,145,44,BW_(BKW_01)_Output,2026-05-12 14:24:00
Item,1085,Trailer Loading,147,__export__.mrp_workcenter_66_9f807a30,BW_(BKW_01),2026-05-12 14:26:00
Item,1085,Trailer Transport,152,__export__.mrp_workcenter_66_9f807a30->__export__.mrp_workcenter_68_8bff6631,BW_(BKW_01)->OUT - Outsourced activity_(OUT - Outsourced),2026-05-12 14:27:00
Item,1085,Trailer Unloading,153,49,OUT - Outsourced activity_(OUT - Outsourced)_Input,2026-05-12 14:28:00
Item,1085,Machine Loading,154,__export__.mrp_workcenter_68_8bff6631,OUT - Outsourced activity_(OUT - Outsourced),2026-05-12 14:30:00
Item,1086,Trailer Loading,79,1,Central_Inventory,2026-05-12 08:49:00
Item,1086,Trailer Transport,86,1->__export__.mrp_workcenter_66_9f807a30,Central_Inventory->BW_(BKW_01),2026-05-12 08:50:00
Item,1086,Trailer Unloading,87,43,BW_(BKW_01)_Input,2026-05-12 08:51:00
Item,1086,Machine Loading,120,__export__.mrp_workcenter_66_9f807a30,BW_(BKW_01),2026-05-12 10:21:00
Item,1086,Processing,124,__export__.mrp_workcenter_66_9f807a30,BW_(BKW_01),2026-05-12 14:21:00
Item,1086,Machine Unloading,145,44,BW_(BKW_01)_Output,2026-05-12 14:24:00
Item,1086,Trailer Loading,147,__export__.mrp_workcenter_66_9f807a30,BW_(BKW_01),2026-05-12 14:26:00
Item,1086,Trailer Transport,152,__export__.mrp_workcenter_66_9f807a30->__export__.mrp_workcenter_68_8bff6631,BW_(BKW_01)->OUT - Outsourced activity_(OUT - Outsourced),2026-05-12 14:27:00
Item,1086,Trailer Unloading,153,49,OUT - Outsourced activity_(OUT - Outsourced)_Input,2026-05-12 14:28:00
Item,1086,Machine Loading,154,__export__.mrp_workcenter_68_8bff6631,OUT - Outsourced activity_(OUT - Outsourced),2026-05-12 14:30:00
Item,1087,Trailer Loading,79,1,Central_Inventory,2026-05-12 08:49:00
Item,1087,Trailer Transport,86,1->__export__.mrp_workcenter_66_9f807a30,Central_Inventory->BW_(BKW_01),2026-05-12 08:50:00
Item,1087,Trailer Unloading,87,43,BW_(BKW_01)_Input,2026-05-12 08:51:00
Item,1087,Machine Loading,120,__export__.mrp_workcenter_66_9f807a30,BW_(BKW_01),2026-05-12 10:21:00
Item,1087,Processing,124,__export__.mrp_workcenter_66_9f807a30,BW_(BKW_01),2026-05-12 14:21:00
Item,1087,Machine Unloading,145,44,BW_(BKW_01)_Output,2026-05-12 14:24:00
Item,1087,Trailer Loading,147,__export__.mrp_workcenter_66_9f807a30,BW_(BKW_01),2026-05-12 14:26:00
Item,1087,Trailer Transport,152,__export__.mrp_workcenter_66_9f807a30->__export__.mrp_workcenter_68_8bff6631,BW_(BKW_01)->OUT - Outsourced activity_(OUT - Outsourced),2026-05-12 14:27:00
Item,1087,Trailer Unloading,153,49,OUT - Outsourced activity_(OUT - Outsourced)_Input,2026-05-12 14:28:00
Item,1087,Machine Loading,154,__export__.mrp_workcenter_68_8bff6631,OUT - Outsourced activity_(OUT - Outsourced),2026-05-12 14:30:00
