"Product","Reference","BoM Lines/Component","BoM Lines/Component/Unit of Measure","BoM Lines/Quantity","BoM Lines/Product Unit of Measure","BoM Lines/Operations","BoM Lines/Operations/Duration"
"[4522-128-81532A POS 2] CEILING INLET*","[4522-128-81532A POS 2] CEILING INLET*","[5990-0000-0013] EPRAFORM PC helder rond Ø125","mm","43.0","mm","Material prep (ZGN_01)","1.0"
"","","","","","","Milling (FR4-02)","25.0"
"","","","","","","Milling (FR3_01)","4.0"
"","","","","","","BW - Benchwork (BKW_01)","2.0"
"","","","","","","Painting","9000.0"
"","","","","","","Packaging (VERP_P)","1.0"
"[4522-980-37881] Filterplate al.20","[4522-980-37881] Filterplate al.20","[5601-0000-0117] ALU 99.5 40HV UN-T136 plaat 145x145x25","Pcs","1.0","Pcs","Picking (UITG_M)","0.0"
"","","","","","","Milling (FR3_02)","8.0"
"","","","","","","BW - Benchwork (BKW_01)","1.0"
"","","","","","","Packaging (VERP_P)","1.0"
"[4522-980-37891] Filterplate al 5","[4522-980-37891] Filterplate al 5","[5601-0000-0118] ALU 99.5 40HV UN-T136 plaat 145x145x6","Pcs","1.0","Pcs","Picking (UITG_M)","0.0"
"","","","","","","Milling (FR3_02)","8.0"
"","","","","","","BW - Benchwork (BKW_01)","1.0"
"","","","","","","Packaging (VERP_P)","1.0"
"[4598-008-08901B POS 1] CEILING INLET*","[4598-008-08901B POS 1] CEILING INLET*","[5990-0000-0013] EPRAFORM PC helder rond Ø125","mm","43.0","mm","Material prep (ZGN_01)","1.0"
"","","","","","","Milling (FR4-02)","25.0"
"","","","","","","Milling (FR3_01)","4.0"
"","","","","","","BW - Benchwork (BKW_01)","3.0"
"","","","","","","Painting","9000.0"
"","","","","","","Packaging (VERP_P)","1.0"
"[4598-011-70891B] ENDPLATE","[4598-011-70891B] ENDPLATE","[5602-0000-0002] RVS 304/304L blank plat 60x10","mm","86.0","mm","Material prep (ZGN_01)","1.0"
"","","","","","","BW - Benchwork (BKW_01)","1.0"
"","","","","","","Milling (FR4-01)","8.0"
"","","","","","","BW - Benchwork (BKW_01)","1.0"
"","","","","","","Passivating","2250.0"
"[6001-1315-5405] Clamping Lever","[6001-1315-5405] Clamping Lever","[5601-0000-0121] ALU 6082 T6 663x50x20mm (pre-cutted Clamping Lever)","Pcs","1.0","Pcs","Picking (UITG_M)","0.0"
"","","","","","","Milling (FR3_02)","5.0"
"","","","","","","Packaging (VERP_P)","1.0"
"[9091469-3-00] Vingerhouder","[9091469-3-00] Vingerhouder","[5603-0000-0015] STAAL 40CrMnM07 wgw plat 80x40","mm","92.0","mm","Material prep (ZGN_01)","1.0"
"","","","","","","Milling (FR4-02)","20.0"
"","","","","","","Milling (FR4-02)","15.0"
"","","","","","","BW - Benchwork (BKW_01)","3.0"
"","","","","","","Packaging (VERP_P)","1.0"
"[B620261-5] COOLING HOUSE","[B620261-5] COOLING HOUSE","[5602-0000-0036] RVS 304/304L gzgd plaat 745x285x20","Pcs","1.0","Pcs","Picking (UITG_M)","0.0"
"","","","","","","Milling (FR3_01)","60.0"
"","","","","","","Milling (FR3_01)","480.0"
"","","","","","","BW - Benchwork (BKW_01)","90.0"
"","","","","","","Cleaning","2250.0"
"","","","","","","Packaging (VERP_P)","1.0"
"[BD50-5075-009-E] bracket","[BD50-5075-009-E] bracket","[5601-0000-0021] ALU 7075 T79511 hoekprofiel 20x16x1.2","mm","140.0","mm","Material prep (ZGN_02)","1.0"
"","","","","","","Milling (FR3_01)","4.0"
"","","","","","","BW - Benchwork (BKW_01)","2.0"
"","","","","","","Packaging (VERP_P)","1.0"
"","","","","","","Chromising","4500.0"
"","","","","","","Packaging (VERP_P)","1.0"
"[GF3116T006L] Carriage","[GF3116T006L] Carriage","[5601-0000-0001] ALU 5083 6z gzgd plaat 120x110x15","Pcs","1.0","Pcs","Milling (FR3_01)","1.0"
"","","","","","","Milling (FR4-02)","27.0"
"","","","","","","Milling (FR4-02)","14.0"
"","","","","","","Nickel plating","4500.0"
"","","","","","","BW - Benchwork (BKW_01)","1.0"
"[GO3181T051C] CID Ventilblock (ASCO)","[GO3181T051C] CID Ventilblock (ASCO)","[5601-0000-0106] ALU 5083 gzgd plaat 103x65x25","Pcs","1.0","Pcs","Picking (UITG_M)","0.0"
"","","","","","","Milling (FR5_01)","50.0"
"","","","","","","Milling (FR3_01)","1.0"
"","","","","","","Milling (FR3_01)","1.0"
"","","","","","","BW - Benchwork (BKW_01)","5.0"
"","","","","","","Packaging (VERP_P)","1.0"
"[GO3213T056C] [V] frontdeckel (1841462)","[GO3213T056C] [V] frontdeckel (1841462)","[5601-0000-0004] ALU 5083 2z gefr plaat 1730x240x20","Pcs","1.0","Pcs","Picking (UITG_M)","0.0"
"","","","","","","Milling (FR3_01)","50.0"
"","","","","","","Milling (FR3_01)","45.0"
"","","","","","","Milling (FR3_01)","20.0"
"","","","","","","Milling (FR3_01)","2.0"
"","","","","","","BW - Benchwork (BKW_01)","30.0"
"","","","","","","Nickel plating","4500.0"
"","","","","","","Packaging (VERP_P)","1.0"
"[GO3220T101B] Ventillblock vxe 1834191","[GO3220T101B] Ventillblock vxe 1834191","[5601-0000-0010] ALU 6082 T6 vk 70","mm","32.0","mm","Material prep (ZGN_01)","1.0"
"","","","","","","Milling (FR5_01)","45.0"
"","","","","","","Milling (FR3_01)","5.0"
"","","","","","","BW - Benchwork (BKW_01)","5.0"
"","","","","","","Packaging (VERP_P)","1.0"
"[GO4910T001B] Klemmaufnahme","[GO4910T001B] Klemmaufnahme","[5601-0000-0009] ALU 6082 T6 vk 50","mm","103.0","mm","Material prep (ZGN_01)","1.0"
"","","","","","","Milling (FR5_01)","20.0"
"","","","","","","Milling (FR5_01)","7.0"
"","","","","","","BW - Benchwork (BKW_01)","2.0"
"","","","","","","Anodising","2250.0"
"","","","","","","Packaging (VERP_P)","1.0"
"[M.459800425070/1] Spring brake suspension","[M.459800425070/1] Spring brake suspension","","","","","",""
"[M0216-01-091A] Bev. Klitteband","[M0216-01-091A] Bev. Klitteband","[5601-0000-0111] ALU 6060 T66 plat 30x5","mm","30.0","mm","Material prep (ZGN_01)","1.0"
"","","","","","","Milling (FR3_01)","0.0"
"","","","","","","Material prep (ZGN_01)","1.0"
"","","","","","","BW - Benchwork (BKW_01)","1.0"
"","","","","","","Packaging (VERP_P)","1.0"
"[M0216-01-363-B] nul-graden arretsegment","[M0216-01-363-B] nul-graden arretsegment","[5603-0000-0018] STAAL s235jr wgw plat 70x20","mm","250.0","mm","Material prep (ZGN_01)","1.0"
"","","","","","","Milling (FR3_02)","3.0"
"","","","","","","Milling (FR3_02)","28.0"
"","","","","","","BW - Benchwork (BKW_01)","2.0"
"","","","","","","Passivating","2250.0"
"","","","","","","Packaging (VERP_P)","1.0"
"[S325F3116200B] Bracket","[S325F3116200B] Bracket","[5601-0000-0105] ALU 2024-T351 gecert. 110x15x10","Pcs","1.0","Pcs","Picking (UITG_M)","0.0"
"","","","","","","Milling (FR3_01)","8.0"
"","","","","","","Milling (FR3_01)","2.0"
"","","","","","","Packaging (VERP_P)","1.0"
"[4022.622.61092] RH RED GRIPPER CABLE COVER ","[4022.622.61092] RH RED GRIPPER CABLE COVER","","","","","",""
"[4022.684.31831] RH RED IR SENSOR BRKT ","[4022.684.31831] RH RED IR SENSOR BRKT","","","","","",""
"[4022.684.32042] RH RED DYNAMIC STRAIN RELIEF B ","[4022.684.32042] RH RED DYNAMIC STRAIN RELIEF B","","","","","",""
"[4022.684.32031] RH RED DYNAMIC STRAIN RELIEF A","[4022.684.32031] RH RED DYNAMIC STRAIN RELIEF A","","","","","",""
"[4022.684.32071] RH RED STATIC STRAIN RELIEF C","[4022.684.32071] RH RED STATIC STRAIN RELIEF C","","","","","",""
"[4022.704.19302] RH RED STATIC STRAIN RELIEF A","[4022.704.19302] RH RED STATIC STRAIN RELIEF A","","","","","",""
"[4022.704.19332] RH RED STATIC STRAIN RELIEF B ","[4022.704.19332] RH RED STATIC STRAIN RELIEF B","","","","","",""
"[4022-637-11831] HINGE BLOCK FIXED LF","HaDo Products","[5602-0000-0016] RVS 304/304L wgw plat 100x30","mm","50.0","mm","Material prep (ZGN_01)","1.0"
"","","","","","","Machining (M5-02)","25.0"
"","","","","","","Machining (M4-02)","10.0"
"","","","","","","Benchwork (BKW_01)","5.0"
"","","","","","","Packaging (VERP_P)","1.0"
"[4022-706-4754] EXE REMA TT Clamp block 2","HaDo Products","[5601-0000-0122] ALU 6082 T6 vk 90","mm","63.0","mm","",""
"[4022-706-47551] EXE REMA TT Hinge  Block 1","HaDo Products","[5601-0000-0013] ALU 6082 T6 vk 60","mm","158.0","mm","Material prep (ZGN_01)","1.0"
"","","","","","","Milling (FR5_01)","16.0"
"","","","","","","Milling (FR3_01)","3.0"
"","","","","","","Anodising + Cleaning","4500.0"
"","","","","","","Packaging (VERP_P)","1.0"
"[4022-706-4756] EXE REMA TT Hinge Block 2","HaDo Products","[5601-0000-0013] ALU 6082 T6 vk 60","mm","158.0","mm","Material prep (ZGN_01)","1.0"
"","","","","","","Milling (FR5_01)","16.0"
"","","","","","","Milling (FR3_01)","3.0"
"","","","","","","Anodising + Cleaning","4500.0"
"","","","","","","Packaging (VERP_P)","1.0"
"[4022-706-4757] EXE REMA TT Clamp Block 3","HaDo Products","[5601-0000-0123] ALU 6082 T6 vk 100","mm","233.0","mm","Material prep (ZGN_01)","1.0"
"","","","","","","Milling (FR5_01)","40.0"
"","","","","","","Milling (FR3_01)","15.0"
"","","","","","","Anodising + Cleaning","4500.0"
"","","","","","","Packaging (VERP_P)","1.0"
"[4022-451-22761B] RS Lock MF-X Spring Block","HaDo Products","[5990-0000-0019] Customer supplied material - RS Lock MF-X Spring Block","Pcs","1.0","Pcs","Picking (UITG_M)","1.0"
"","","","","","","Milling (FR3_01)","11.0"
"","","","","","","Milling (FR3_01)","2.0"
"","","","","","","Anodising","2250.0"
"","","","","","","Packaging (VERP_P)","1.0"
"[BSIM-00000978 Rev. AC] BOTTOM PLATER RESERVOIR","HaDo Products","[5990-0000-0020] Customer supplied material - BOTTOM PLATER RESERVOIR","Pcs","1.0","Pcs","Picking (UITG_M)","1.0"
"","","","","","","Milling (FR3_01)","6.0"
"","","","","","","Packaging (VERP_P)","1.0"
"[1034719 C] KM Heatsink SR5 70X10X25 rev C","HaDo Products","[5990-0000-0021] Customer supplied material - KM Heatsink SR5 70X10X25 rev C","Pcs","1.0","Pcs","Picking (UITG_M)","1.0"
"","","","","","","Milling (FR4-02)","7.0"
"","","","","","","Milling (FR4-02)","3.0"
"","","","","","","Cleaning","2250.0"
"","","","","","","Packaging (VERP_P)","1.0"
"[7187549] 4023 005 82993-A.step","YNQ","","","","","",""
"[7188780] 4023 005 84622-A.step","YNQ","","","","","",""
"[7189853] 4023 005 92341-A.step","YNQ","","","","","",""
"[7190421] 4023 005 94211-A.step","YNQ","","","","","",""
"[7191167] 4023 005 94911-B.step","YNQ","","","","","",""
"[7192888] 4023 006 01751-A.step","YNQ","","","","","",""
"[4022-451-22801B] RS Lock MF-X Preload Housing","[4022-451-22801B] RS Lock MF-X Preload Housing","[5601-0000-0025] ALU 6082 T651 (wgw) gzgd plaat 125x30","mm","105.0","mm","Automatic Sawing (ZGN_01)","1.0"
"","","","","","","Milling (M5-03)","20.0"
"","","","","","","Milling (M5-03)","10.0"
"","","","","","","Anodize","2250.0"
"","","","","","","Packing (VERP_P)","1.0"
"[BD50-5085-013-C] bracket","[BD50-5085-013-C] bracket","[5601-0000-0021] ALU 7075 T79511 hoekprofiel 20x16x1.2","mm","60.0","mm","MP2 - Material preparation - manual sawing (ZGN_02)","1.0"
"","","","","","","M3-01 - Accuwell - 3axis - Manual (FR3_01)","6.0"
"","","","","","","BW - Benchwork (BKW_01)","2.0"
"","","","","","","PACK - Packaging (VERP_P)","1.0"
"","","","","","","Chromatize","4500.0"
"","","","","","","PACK - Packaging (VERP_P)","1.0"
"[4022-630-65212] Hinge Block Back","[4022-630-65212] Hinge Block Back","[5602-0000-0003] RVS 304/304L wgw plat 40x30","mm","53.0","mm","MP1 - Material preparation - automatic sawing (ZGN_01)","1.0"
"","","","","","","M5-01 - Accuwell - 5axis - Pallet automaton (FR5_01)","20.0"
"","","","","","","M5-01 - Accuwell - 5axis - Pallet automaton (FR5_01)","4.0"
"","","","","","","BW - Benchwork (BKW_01)","3.0"
"","","","","","","PACK - Packaging (VERP_P)","1.0"
"[7044485] Plaat v4.step","M24","","","","","",""
"[7045341] Opname draaischijf v13.step","M24","","","","","",""
"[7046329] Steun zwenkcylinder v4.step","M24","","","","","",""
"[7047537] Schuivervoet v2.step","M24","","","","","",""
"[7048678] Schuiverhouder v4.step","M24","","","","","",""
"[7049493] Draaischijf v10.step","M24","","","","","",""
"[7050762] Flens draaischijf v5.step","M24","","","","","",""
"[368556] 3428591-66666.step","M24","","","","","",""
"[7038211] P02003.STEP","M24","","","","","",""
"[7039225] P02004.STEP","M24","","","","","",""
"[7055240] P04200C Housing PRM5 13,5mm inner radius.STEP","M24","","","","","",""
"[7056485] P04201.STEP","M24","","","","","",""
"[7200886] Tab removal fixture V01.STEP","YNQ","","","","","",""
"[7199773] Machining Clamp-v03.stp","YNQ","","","","","",""
"[7067859] Verlenging vinger M4 v3.step","M24","","","","","",""
"[7057581] Adapterplaat klokhouder v10.step","M24","","","","","",""
"[7071795] Printbed.STEP","M24","","","","","",""
"[7072642] P1501-M8001-00 - Draft - 2024-11-15.stp","M24","","","","","",""
"[7214393] PRT-2080_dof_3_hip_r_REV.step","YNQ","","","","","",""
"[7215594] PRT-2088_dof_3_hip_l_REV.step","YNQ","","","","","",""
"[7075941] P1524-M1051-01.STEP","M24","","","","","",""
"[7076611] P1524-M1055-04.STEP","M24","","","","","",""
"[4022-631-54801] INTERFACE (ADJUSTABLE)","","[5602-0000-0015] RVS 304/304L wgw plat 80x30","mm","138.0","mm","Material prep (ZGN_01)","1.0"
"","","","","","","Milling (FR5-02)","50.0"
"","","","","","","Milling (FR5-02)","15.0"
"","","","","","","Milling (FR5-02)","2.0"
"","","","","","","BW - Benchwork (BKW_01)","3.0"
"","","","","","","Packaging (VERP_P)","1.0"
"[7201947] spacer_block^sample_holder_october24.sldprt","YNQ","","","","","",""
"[7202144] fork.SLDPRT","YNQ","","","","","",""
"[7203451] death_cap.SLDPRT","YNQ","","","","","",""
"[7204568] top_plate_nov.SLDPRT","YNQ","","","","","",""
"[7205771] EUV_Shield.SLDPRT","YNQ","","","","","",""
"[7206553] front_plate.SLDPRT","YNQ","","","","","",""
"[7207632] slider^sample_holder_october24_v1.sldprt","YNQ","","","","","",""
"[7085715] V5185358_AA-Custom_foot_base.stp","M24","","","","","",""
"[7221906] 000793263.step","YNQ","","","","","",""
"[7087454] RD032-M0014-00.STEP","M24","","","","","",""
"[7077759] Cover mount.STEP","M24","","","","","",""
"[7078399] Gantry.STEP","M24","","","","","",""
"[7079807] motor to rails.STEP","M24","","","","","",""
"[7080456] Probe_Mount.STEP","M24","","","","","",""
"[7083905] Printbed.STEP","M24","","","","","",""
"[7088857] P1517-M2110-00.stp","M24","","","","","",""
"[7089998] P1517-M2210-00.stp","M24","","","","","",""
"[7090555] P1517-M2310-00.stp","M24","","","","","",""
"[7091508] P1517-M2410-00.stp","M24","","","","","",""
"[7093677] P1517-M1012-00.stp","M24","","","","","",""
"[7095500] P1517-M1022-00.stp","M24","","","","","",""
"[7099380] P1517-M1054-00.stp","M24","","","","","",""
"[7100719] P1517-M1055-00.stp","M24","","","","","",""
"[7104151] P1517-M1161-00.stp","M24","","","","","",""
"[7105575] P1517-M1162-00.stp","M24","","","","","",""
"[7106120] P1517-M1355-00.stp","M24","","","","","",""
"[7107628] P1517-M1361-00.stp","M24","","","","","",""
"[7108158] P1517-M1362-00.stp","M24","","","","","",""
"[7109179] P1517-M1461-00.stp","M24","","","","","",""
"[7110338] P1517-M1462-00.stp","M24","","","","","",""
"[Mal-130 wz 04] Lagerhuis","[Mal-130 wz 04] Lagerhuis","staal S235JRC blank plat 50x25","mm","160.0","mm","material prep (zgn_01)","1.0"
"","","","","","","Milling (FR3_01)","9.0"
"","","","","","","Milling (FR3_01)","9.0"
"","","","","","","Milling (FR3_01)","5.0"
"","","","","","","Nickel plating","4500.0"
"","","","","","","PACK - Packaging (VERP_P)","1.0"
"[7131942] P1517-M1051-01.stp","M24","","","","","",""
"[7118288] Shortside rib.STEP","M24","","","","","",""
"[7119603] End rib.STEP","M24","","","","","",""
"[7120354] Connection strip.STEP","M24","","","","","",""
"[7121703] Straight segment V-track.STEP","M24","","","","","",""
"[7122309] Curved segment V-track.STEP","M24","","","","","",""
"[7124502] Straight segment flat track.STEP","M24","","","","","",""
"[7125883] Curved segment flat track.STEP","M24","","","","","",""
"[7163327] RD044-M0003.STEP","M24","","","","","",""
"[7164618] RD044-M0004.STEP","M24","","","","","",""
"[7165466] RD044-M0005.STEP","M24","","","","","",""
"[X0846711] X0846711 ","","[5603-0000-0024] Blank C45+C/C45k vk30","mm","70.0","mm","",""
"[7239895] accelero_cube_1part_drilled.STEP","YNQ","","","","","",""
"[7241523] 4023 006 26341.stp","YNQ","","","","","",""
"[7242779] 4023 006 26661.stp","YNQ","","","","","",""
"[7243806] 4023 006 26681.stp","YNQ","","","","","",""
"[7208585] vfr800_front_caliper_delink_bracket_v1_2025Jan20_2106.step","M24","","","","","",""
"[7248314] 4023 006 16561 CLAMP 4X.stp","YNQ","","","","","",""
"[7249414] 4023 006 19871 Tube Protector.stp","YNQ","","","","","",""
"[7245531] Chip_plate_holder.STEP","YNQ","","","","","",""
"[7246981] Peltier_Holder_Adjusted.STEP","YNQ","","","","","",""
"[7247297] Tubing_holder.STEP","YNQ","","","","","",""
"[7244675] V4_fluidic_holder_CAVA2025_TightCooling.STEP","YNQ","","","","","",""
"[7254223] 4023 006 31221-A.stp","YNQ","","","","","",""
"[4022-637-39621] BLOCK FOR LOCKING SCREW ","[4022-637-39621] BLOCK FOR LOCKING SCREW","[5602-0000-0047] RVS 304/304L blank plat 30x25","mm","74.5","mm","Material prep (ZGN_01)","1.0"
"","","","","","","Milling (FR5_01)","15.0"
"","","","","","","Milling (FR3_01)","3.0"
"","","","","","","BW - Benchwork","2.0"
"","","","","","","Packaging (VERP_P)","1.0"
"[M.P04743] Koppelstrip bovenligger iGate","","[5990-0000-0023] Customer supplied material - [M.P04743] Koppelstrip bovenligger iGate","Pcs","1.0","Pcs","Material prep - Picking","1.0"
"","","","","","","Milling - FR3_01","0.0"
"","","","","","","BW - Bnchwork","1.0"
"","","","","","","Packaging (VERP_P)","1.0"
"[4022-699-03382] EXE WS MP XZ LOCK WEDGE","","[5990-0000-0024] Customer supplied material - EXE WS MP XZ LOCK WEDGE","Pcs","1.0","Pcs","",""
"[4022-669-93452] SERV FLR MKII BM IF HOOK","[4022-669-93452] SERV FLR MKII BM IF HOOK","[5990-0000-0025] Customer supplied material - SERV FLR MKII BM IF HOOK","Pcs","1.0","Pcs","Material prep - customer delivered","60.0"
"","","","","","","Milling - FR5_01","14.0"
"","","","","","","BW - Benchwork (BKW_01)","1.0"
"","","","","","","PACK - Packaging (VERP_P)","1.0"
"[7005-2480-0090] METROFRAME BODY V02-00-B / 0119073001 ","[7005-2480-0090] METROFRAME BODY V02-00-B / 0119073001","[5601-0000-0155] ALU 5083 gegoten gzgd plaat 590x460x150","Pcs","1.0","Pcs","Milling - OP1+2","360.0"
"","","","","","","Milling - OP3/9","700.0"
"[7005-2480-0170] CABLE GUIDE / 0119073006","","","","","","",""
"[7201703] MOTOR MOUNT / PROTO","[7201703] MOTOR MOUNT / PROTO","[5601-0000-0040] ALU 5083 H111 (wgw) gzgd plaat 125x30","mm","185.0","mm","Milling","0.0"
"","","","","","","CAM","76.0"
"[7202812] PRINTBED / PROTO","[7202812] PRINTBED / PROTO","[5601-0000-0040] ALU 5083 H111 (wgw) gzgd plaat 125x30","mm","255.0","mm","Zagen","60.0"
"","","","","","","Milling","30.0"
"[7199932]  BASE SHUTTLE / PROTO","[7199932]  BASE SHUTTLE / PROTO","[5601-0000-0159] ALU 5083 6z gzgd 125x60","mm","157.0","mm","CAM","396.0"
"","","","","","","Milling","88.0"
"[4022.684.31572] RH RED TURRET ELEC COVER C","[4022.684.31572] RH RED TURRET ELEC COVER C","[5601-0000-0160] ALU 5083 gegoten gefreesd gzgd plaat 500x350x12mm ","Pcs","1.0","Pcs","Picking","1.0"
"","","","","","","Milling","188.0"
"[7200759] MAGNET HOLDER / PROTO","[7200759] MAGNET HOLDER / PROTO","[5601-0000-0051] ALU 5083 H111 (wgw) gzgd plaat 200x15","mm","0.0","mm","CAM","186.0"
"","","","","","","Milling","28.0"
"[7204469] ENCODERPLATE / PROTO","[7204469] ENCODERPLATE / PROTO","[5601-0000-0051] ALU 5083 H111 (wgw) gzgd plaat 200x15","mm","510.0","mm","CAM","138.0"
"","","","","","","Milling","66.0"
"[7206913] BOTTOM PLATE / PROTO","[7206913] BOTTOM PLATE / PROTO","[5601-0000-0040] ALU 5083 H111 (wgw) gzgd plaat 125x30","mm","330.0","mm","CAM","78.0"
"","","","","","","Milling","27.0"
"[4022.622.61941] RH RED FRAME -X COVER","[4022.622.61941] RH RED FRAME -X COVER","[5601-0000-0161] ALU 6082 T651 (wgw) gzgd plaat 500x365x100 ","Pcs","1.0","Pcs","CAM","1290.0"
"","","","","","","Milling","978.0"
"[4022.622.61761] RH RED EBOX MONO","[4022.622.61761] RH RED EBOX MONO","[5601-0000-0162] ALU 6082 T651 (wgw) gzgd plaat 240x180x150","Pcs","1.0","Pcs","CAM","1068.0"
"","","","","","","Milling","594.0"
"[7205666] STIFFENER / PROTO","[7205666] STIFFENER / PROTO","[5601-0000-0165] ALU 5083 H111 (wgw) gzgd plaat 465x310x25","Pcs","1.0","Pcs","CAM","102.0"
"","","","","","","Milling","134.0"
"Dummy encoder block / P1350-M1100-02 ","Dummy encoder block / P1350-M1100-02","[5601-0000-0164] RVS 303 (1.4305) wgw rond 210x235","Pcs","1.0","Pcs","CAM","1440.0"
"","","","","","","Milling","534.0"
"[7123100] SPINDLE TO RAILS / PROTO","[7123100] SPINDLE TO RAILS / PROTO","[5601-0000-0044] ALU 5083 H111 (wgw) gzgd plaat 50x50","mm","30.0","mm","Zagen","1.0"
"","","","","","","CAM","96.0"
"","","","","","","Milling","12.0"
"[7005-2580-0001] Stroke Limiter Plate ZY-L / 26223910","[7005-2580-0001] Stroke Limiter Plate ZY-L / 26223910","[5601-0000-0029] ALU 6082 T651 (wgw) gzgd plaat 50x50","mm","40.0","mm","Zagen","1.0"
"","","","","","","Milling","21.0"
"[7005-2580-0003] Stroke Limiter Plate RX-R / 26223908","[7005-2580-0003] Stroke Limiter Plate RX-R / 26223908","[5601-0000-0023] ALU 6082 T651 (wgw) gzgd plaat 75x30","mm","50.0","mm","Zagen","1.0"
"","","","","","","Milling","25.0"
"[7005-2480-0180] TORSION RELIEF RING / 0119073007","[7005-2480-0180] TORSION RELIEF RING","[5602-0000-0031] RVS 316L wgw plat 80x20","mm","420.0","mm","Zagen","1.0"
"","","","","","","Milling","16.0"
"[7005-2480-0130] CABLE COVER 1 / 0119073003","[7005-2480-0130] CABLE COVER 1 / 0119073003","[5602-0000-0049] RVS 316L kgw finish 2B plaat 2000x1000x4","Pcs","0.0625","Pcs","Zagen","1.0"
"","","","","","","Milling","105.0"
"[7005-2580-0005] Single Rail / IGUS / WSQ-06S","[7005-2580-0005] Single Rail / IGUS / WSQ-06S","Single rail WSQ - not drilled / IGUS / WSQ-06S","Pcs","1.0","Pcs","Sawing","1.0"
"","","","","","","Milling","6.0"
"[7005-2480-0140] CABLE COVER 2 / 0119073004","[7005-2480-0140] CABLE COVER 2 / 0119073004","[5602-0000-0049] RVS 316L kgw finish 2B plaat 2000x1000x4","Pcs","0.0625","Pcs","Knippen","1.0"
"","","","","","","Milling","85.0"
"[7005-2480-0170] CABLE GUIDE / 0119073006","[7005-2480-0170] CABLE GUIDE / 0119073006","[5608-0000-0001] PEEK gzgd 190x100x20","Pcs","1.0","Pcs","OP1/OP2","15.0"
"[7247694] P1517-M4006-00.stp","M24","[5605-0000-0029] POM-C wit gzgd plaat 500x250x16","Pcs","1.0","Pcs","milling","23.0"
"[7248956] P1517-M4001-00.stp","M24","[5605-0000-0030] POM-C wit gzgd plaat 125x75x60","Pcs","1.0","Pcs","Milling","32.0"
"[7249674] P1517-M4002-00.stp","M24","[5605-0000-0031] POM-C wit gzgd plaat 175x75x60","Pcs","1.0","Pcs","Milling","39.0"
"[7250207] P1517-M4003-00.stp","M24","[5605-0000-0032] POM-C wit gzgd plaat 150x75x80","Pcs","1.0","Pcs","Milling","41.0"
"[7251860] P1517-M4004-00.stp","M24","[5605-0000-0033] POM-C wit gzgd plaat 150x105x80","Pcs","1.0","Pcs","Milling","58.0"
"[7258128] P1517-M3001-00.stp","M24","","","","","",""
"[7259797] P1517-M3003-01.stp","M24","","","","","",""
"[7007-2500-0001] TL 1 – Feet B / IAH ","[7007-2500-0001] TL 1 – Feet B / IAH","[5601-0000-0166] ALU 5083 H111 (wgw) plaat 360x300x45mm","Pcs","1.0","Pcs","CAM","60.0"
"","","","","","","OPx","60.0"
"[4022-631-80951] Hinge block rm2","[4022-631-80951] Hinge block rm2","[5602-0000-0010] RVS 304/304L wgw plat 40x20","mm","32.0","mm","",""
"[Z4610360] Slide / Geleider","[Z4610360] Slide / Geleider","[5609-0000-0001] PA6 Polyamide Plaat Gegoten Naturel 2550x1275x20mm","Pcs","1.0","Pcs","",""
"[4022.683.44771] RH NXE RED RZ ENC PLATE SPPRT","[4022.683.44771] RH NXE RED RZ ENC PLATE SPPRT","[5601-0000-0022] ALU 6082 T651 (wgw) gzgd plaat 50x30","mm","80.0","mm","Sawing","1.0"
"","","","","","","Milling","18.0"
"[7005-2580-0002] Stroke Limiter Plate ZY-R / 26223909","[7005-2580-0002] Stroke Limiter Plate ZY-R / 26223909","[5601-0000-0029] ALU 6082 T651 (wgw) gzgd plaat 50x50","mm","0.0","mm","",""
"[7305419] 26243902 Mounting Base V02-00.STEP","[7305419] 26243902 Mounting Base V02-00.STEP","[5605-0000-0007] POM-C wit/naturel gzgd plaat 150x50","mm","295.0","mm","Milling OP1","40.0"
"","","","","","","Milling OP2","62.0"
"[7306642] 26250610 Cleaning Bar V01-01.STEP","M24","[5605-0000-0034] POM-C wit gzgd plaat 700x300x20","Pcs","1.0","Pcs","",""
"[7261698] P1464-M1011-00.stp","M24","[5601-0000-0013] ALU 6082 T6 vk 60","mm","60.0","mm","Sawing","1.0"
"","","","","","","Milling","32.0"
"[7262299] P1464-M1024-00.stp","M24","","","","","",""
"[7263714] P1464-M1027-00.stp","M24","[5601-0000-0013] ALU 6082 T6 vk 60","mm","60.0","mm","Sawing","1.0"
"","","","","","","Milling","29.0"
"[7264118] P1464-M2001-00.stp","M24","[5601-0000-0031] ALU 6082 T651 (wgw) gzgd plaat 100x50","mm","85.0","mm","Sawing","1.0"
"","","","","","","Milling","26.0"
"[7265172] P1464-M2003-00.stp","M24","[5601-0000-0036] ALU 6082 T651 (wgw) gzgd plaat 200x15","mm","430.0","mm","Sawing","1.0"
"","","","","","","Milling","120.0"
"[7266236] P1464-M2010-00.stp","M24","[5601-0000-0167] ALU 6082 T651 (wgw) gzgd plaat 395x250x20","Pcs","1.0","Pcs","Picking","60.0"
"","","","","","","Milling - OP1","35.0"
"","","","","","","Milling - OP2","55.0"
"[7267848] P1464-M2015-00.stp","M24","[5601-0000-0043] ALU 5083 H111 (wgw) gzgd plaat 200x30","mm","360.0","mm","Sawing","1.0"
