"Product","Reference","BoM Lines/Component","BoM Lines/Component/Unit of Measure","BoM Lines/Quantity","BoM Lines/Product Unit of Measure","BoM Lines/Operations","BoM Lines/Operations/Duration"
"","","","","","","Milling (FR3_01)","5.0"
"","","","","","","BW - Benchwork (BKW_01)","3.0"
"","","","","","","Cleaning","2250.0"
"","","","","","","Packaging (VERP_P)","1.0"
"[00522-01698-A] F&T Y-D plug 1","[00522-01698-A] F&T Y-D plug 1","[5601-0000-0112] ALU 6082 T6 plat 50x20","mm","35.0","mm","Material prep (ZGN_01)","1.0"
"","","","","","","Milling (FR4-01)","6.0"
"","","","","","","Milling (FR3_01)","2.0"
"","","","","","","BW - Benchwork (BKW_01)","3.0"
"","","","","","","Cleaning","2250.0"
"","","","","","","Packaging (VERP_P)","1.0"
"[00522-01717-A] RCW plug 1","[00522-01717-A] RCW plug 1","[5601-0000-0112] ALU 6082 T6 plat 50x20","mm","35.0","mm","Material prep (ZGN_01)","1.0"
"","","","","","","Milling (FR3_01)","7.0"
"","","","","","","Milling (FR3_01)","2.0"
"","","","","","","BW - Benchwork (BKW_01)","3.0"
"","","","","","","Cleaning","2250.0"
"","","","","","","Packaging (VERP_P)","1.0"
"[00522-01718-A] RCW plug 2","[00522-01718-A] RCW plug 2","[5601-0000-0112] ALU 6082 T6 plat 50x20","mm","35.0","mm","Material prep (ZGN_01)","1.0"
"","","","","","","Milling (FR3_01)","7.0"
"","","","","","","Milling (FR3_01)","2.0"
"","","","","","","BW - Benchwork (BKW_01)","3.0"
"","","","","","","Cleaning","2250.0"
"","","","","","","Packaging (VERP_P)","1.0"
"[080-810005-A2] Valve body 3-way 2 sensors","[080-810005-A2] Valve body 3-way 2 sensors","[5601-0000-0010] ALU 6082 T6 vk 70","mm","32.0","mm","Material prep (ZGN_01)","1.0"
"","","","","","","Milling (FR5_01)","16.0"
"","","","","","","Milling (FR3_01)","2.0"
"","","","","","","Milling (FR3_01)","1.0"
"","","","","","","BW - Benchwork (BKW_01)","2.0"
"","","","","","","Anodising","2250.0"
"","","","","","","Packaging (VERP_P)","1.0"
"[082-000020-A1] Manifold coolant banjo M14","[082-000020-A1] Manifold coolant banjo M14","[5601-0000-0115] ALU 6082 T6 vk 40","mm","63.0","mm","Material prep (ZGN_01)","1.0"
"","","","","","","Milling (FR3_01)","1.0"
"","","","","","","Milling (FR5_01)","9.0"
"","","","","","","BW - Benchwork (BKW_01)","1.0"
"","","","","","","Anodising","2250.0"
"","","","","","","Packaging (VERP_P)","1.0"
"[095-500029-A 1] Filler block CNG","[095-500029-A 1] Filler block CNG","[5601-0000-0013] ALU 6082 T6 vk 60","mm","123.0","mm","Material prep (ZGN_01)","1.0"
"","","","","","","Milling (FR5_01)","18.0"
"","","","","","","Milling (FR3_01)","2.0"
"","","","","","","BW - Benchwork (BKW_01)","3.0"
"","","","","","","Anodising","2250.0"
"","","","","","","Packaging (VERP_P)","1.0"
"[1001823A] ADJ.PLATE 2 OBJ.","[1001823A] ADJ.PLATE 2 OBJ.","[5604-0000-0003] MESSING CuZn40Pb2 plat 80x20","mm","60.0","mm","Material prep (ZGN_01)","1.0"
"","","","","","","Milling (FR4-01)","25.0"
"","","","","","","Milling (FR3_01)","5.0"
"","","","","","","BW - Benchwork (BKW_01)","2.0"
"","","","","","","Packaging (VERP_P)","1.0"
"[1011113A] Cord Bracket","[1011113A] Cord Bracket","[5604-0000-0002] MESSING CuZn40Pb2 plat 30x20","mm","43.0","mm","Material prep (ZGN_01)","1.0"
"","","","","","","Milling (FR4-01)","5.0"
"","","","","","","Milling (FR4-01)","2.0"
"","","","","","","BW - Benchwork (BKW_01)","2.0"
"","","","","","","Packaging (VERP_P)","1.0"
"[1012609B] CLAMP,PIPE,NIC","[1012609B] CLAMP,PIPE,NIC","[5602-0000-0004] RVS 304/304L wgw plat 70x12","mm","68.0","mm","Material prep (ZGN_01)","1.0"
"","","","","","","Milling (FR4-01)","15.0"
"","","","","","","Milling (FR3_02)","10.0"
"","","","","","","BW - Benchwork (BKW_01)","2.0"
"","","","","","","Packaging (VERP_P)","1.0"
"[1082700B] Block cooling water TMP","[1082700B] Block cooling water TMP","[5602-0000-0024] RVS 316L wgw plat 40x25","mm","88.0","mm","Material prep (ZGN_01)","1.0"
"","","","","","","Milling (FR5_01)","36.0"
"","","","","","","Milling (FR3_01)","5.0"
"","","","","","","BW - Benchwork (BKW_01)","5.0"
"","","","","","","Packaging (VERP_P)","1.0"
"[1200745A] base wet stem quatro","[1200745A] base wet stem quatro","[5601-0000-0107] ALU 5754 H111 gzgd plaat 60x50x50","Pcs","1.0","Pcs","Picking (UITG_M)","0.0"
"","","","","","","Milling (FR5_01)","25.0"
"","","","","","","Milling (FR3_01)","6.0"
"","","","","","","Milling (FR3_01)","4.0"
"","","","","","","BW - Benchwork (BKW_01)","8.0"
"","","","","","","Sandblasting","4500.0"
"","","","","","","Nickel plating","4500.0"
"","","","","","","BW - Benchwork (BKW_01)","5.0"
"","","","","","","Packaging (VERP_P)","1.0"
"[1202210A] shackle, height adjust","[1202210A] shackle, height adjust","[5602-0000-0010] RVS 304/304L wgw plat 40x20","mm","28.0","mm","Material prep - automatic sawing (ZGN_01)","1.0"
"","","","","","","Milling (FR5_01)","0.0"
